Restaurant_ID,Restaurants_Name,Address,City,State,Postal_Code,Latitude,Longitude,Stars_Rating,Review_Count,Restaurants_Delivery,Outdoor_Seating,Accepts_CreditCards,Price_Range,Alcohol,Good_For_Kids,Reservations,Restaurants_TakeOut,WiFi,Good_For_Groups,Wheelchair_Accessible,Happy_Hour,Noise_Level,Dietary_Restrictions,Total_Estimate_Households_per_Zip,Total_Estimate_Married-couple_Family_households,Total_Estimate_Nonfamily_households,Median_Income(dollars),Mean_Income(dollars),Population
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,FL,33618,28.09236,-82.500588,4.0,108,0,1,1,2,1,1,0,1,1,1,0,0,3,0,12100,5819,4724,68245,106081,25570
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,2944 W Ina Rd,Tucson,AZ,85741,32.3387235226,-111.0303098651,4.0,58,1,1,1,2,1,1,0,1,1,0,1,1,1,0,13989,5663,5499,63092,73330,32998
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,0,1,0,1,1,1,0,1,1,0,0,0,1,0,18239,6207,10326,86147,128426,36228
xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,14457 N Dale Mabry Hwy,Tampa,FL,33618,28.0787347875,-82.5063104158,3.5,42,1,1,1,2,1,1,1,1,1,1,0,1,4,0,12100,5819,4724,68245,106081,25570
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,38 E Washington St,Indianapolis,IN,46204,39.7672488945,-86.1567753553,4.0,208,0,1,1,2,1,0,1,1,1,0,0,0,4,0,4582,498,3999,73281,100517,5125
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,0,1,2,1,1,1,1,1,1,0,1,2,0,16508,2296,10575,28603,46430,51808
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,400 E Fairview Ave,Meridian,ID,83642,43.6196488,-116.3871392,4.5,119,0,0,1,1,1,1,0,1,0,1,1,0,4,0,17854,10414,5003,75708,95807,37008
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,300 South St,Philadelphia,PA,19147,39.9412993,-75.1477446,3.0,178,0,0,0,2,1,1,0,1,0,1,0,0,4,0,18239,6207,10326,86147,128426,36228
JF7iyI3wA_AKi_iXOKi0Qw,Parlor Suburban Square,30 Parking Plz,Ardmore,PA,19003,40.008645,-75.288802,3.5,61,1,1,1,2,1,1,1,1,1,1,1,1,4,0,5665,2805,2250,105061,135760,12519
7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,401 E City Ave,Bala Cynwyd,PA,19004,40.0079839104,-75.2126064939,4.0,92,0,0,1,4,1,0,1,1,1,1,1,1,4,0,3869,2223,1313,122950,174755,9416
tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,729 Brunswick Ave,Trenton,NJ,8638,40.23547,-74.7532115132,4.5,93,1,1,1,2,1,1,0,1,1,1,0,0,1,0,8081,2552,3463,57064,72035,22832
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,"230 Franklin Rd, Ste 11W",Franklin,TN,37064,35.9326054453,-86.860662065,4.5,66,1,1,1,2,1,1,0,1,1,1,1,0,4,0,21795,14497,4934,105342,134928,48118
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,824 S 8th St,Philadelphia,PA,19147,39.9389483,-75.1564078,4.0,79,1,1,1,2,1,1,1,1,1,1,0,1,1,0,18239,6207,10326,86147,128426,36228
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,853 East Grant Rd,Tucson,AZ,85719,32.2509598946,-110.9591583204,4.0,446,1,0,1,2,1,1,1,1,1,1,0,1,4,0,18119,3526,12170,34013,48571,43989
TEP-73fGvgSUmtQFaOTA_g,The Steak Out,3640 W Tangerine Rd,Marana,AZ,85658,32.424551,-111.042885,2.5,30,0,1,1,2,1,1,1,1,0,1,0,1,3,0,4734,3364,931,90114,111834,7790
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,"102 Main St, Ste 100",Exton,PA,19341,40.0236651,-75.6291878,3.0,208,1,1,1,2,1,0,0,1,1,1,1,1,4,0,7825,4563,2392,107338,135072,16709
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,8745 Gunn Hwy,Odessa,FL,33556,28.0921362,-82.5785736,4.0,82,0,0,1,1,1,1,0,1,1,1,0,1,4,0,8310,5913,1538,112459,158971,22015
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,"680 E 56th St, Ste A",Brownsburg,IN,46112,39.8518617214,-86.3847577572,4.0,74,1,1,1,2,0,1,0,1,0,1,0,1,4,0,13502,8805,3169,91131,107476,33662
bSJczuohHVko33UT82hnfA,Blaze Pizza,611 O'keefe Ave,New Orleans,LA,70113,29.948395,-90.075281,4.0,302,1,1,1,1,1,1,0,1,1,1,1,0,2,0,3647,332,2433,25142,47800,7025
PCM-vL-vRLJ4HB2OE8Nnbg,Baxter's Saloon & Grill,20 Liberty Blvd,Malvern,PA,19355,40.0536347,-75.526719,2.5,31,0,1,1,2,1,0,1,1,1,1,0,0,2,0,10090,6457,2800,133686,187043,24760
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,Philadelphia,PA,19103,39.9506555,-75.1708991,4.0,618,1,1,1,2,1,0,1,1,1,1,0,1,4,0,15765,3571,11832,79110,134268,21908
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,3683 Kings Row,Reno,NV,89503,39.5428346,-119.8569115,4.5,41,1,1,1,1,1,0,0,1,0,0,1,0,1,0,12469,4209,6739,54063,76117,27891
od6skmfXz9twktEAuJHEmw,Ryan Christopher,245 Woodbine Ave,Narberth,PA,19072,40.0099504,-75.2591858,4.0,120,1,1,1,2,1,1,1,1,1,1,0,0,4,0,4121,2443,1246,131685,209007,9539
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,28330 Paseo Dr,Wesley Chapel,FL,33543,28.188219,-82.347274,4.5,496,1,1,1,2,1,1,1,1,1,1,1,1,4,0,9822,5932,2307,84375,99790,21898
juVJO2kMrHwCYXwQQmv1Tg,Sidekicks Pizza,1105 Shelby St,Indianapolis,IN,46203,39.7520076,-86.1395724,4.0,45,1,1,1,2,1,1,1,1,1,1,1,0,1,0,14085,4662,6134,41321,58332,38950
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,370 Delsea Dr N,Glassboro,NJ,8028,39.7119376,-75.1109667,4.0,88,0,0,1,2,1,1,1,1,0,1,0,0,1,0,6696,3282,2253,75189,87171,20078
kwQzVF5GP8DzdyBavvhIaQ,Fisherman's Cove Seafood,3201 Williams Blvd,Kenner,LA,70065,30.0144336,-90.2402643,4.0,91,0,0,1,2,1,1,0,1,0,1,0,0,4,0,19229,8675,6958,57206,79639,51116
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,Philadelphia,PA,19147,39.9418766,-75.1451988,4.0,604,0,1,1,2,1,0,1,1,1,1,1,1,4,0,18239,6207,10326,86147,128426,36228
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,"2400 Market St, Ste 427",Philadelphia,PA,19103,39.9535919923,-75.1794226902,3.5,163,1,0,1,2,1,0,1,1,0,1,0,0,1,0,15765,3571,11832,79110,134268,21908
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,922 Massachusetts Ave,Indianapolis,IN,46202,39.7802203,-86.1418027,4.5,132,0,0,1,2,1,0,0,1,1,1,1,0,4,0,9714,1991,7113,50216,79733,16335
4QFqi8w3rlZTcc5LXKyPJw,Chris' Pizza Village Pleasant View,"244 Village Sq Pleasent, Ste 100",View,TN,37146,36.387932573,-87.0147362534,4.0,31,0,1,1,2,1,1,0,1,0,1,1,0,1,0,2618,1812,387,83786,97034,7182
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,930 Locust St,Philadelphia,PA,19107,39.947207,-75.1572515,4.0,217,1,0,1,1,1,1,0,1,0,0,0,0,1,0,7823,1743,5771,60676,91522,14875
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,700 S 5th St,Philadelphia,PA,19147,39.9408715785,-75.1510468125,4.0,166,0,1,1,2,1,0,1,1,1,1,0,1,4,0,18239,6207,10326,86147,128426,36228
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1120 Buttonwood St,Philadelphia,PA,19123,39.960811,-75.1573883,4.0,31,1,0,1,1,0,0,0,1,1,0,0,0,4,0,8565,2020,5678,77111,106137,13416
XRkzSBTroG7kIdI7Z8ic6g,Piccadilly,"2222 Clearview Pkwy, Ste 107",Metairie,LA,70001,29.994939,-90.18365,3.0,51,1,0,1,1,1,1,0,1,1,1,0,0,4,0,16638,6475,7575,56724,74980,37996
FW1PXpUq-yOs-5O_gqz3AQ,Big Mike's BBQ,6901 Sheldon Rd,Tampa,FL,33615,28.0114997,-82.5828401,4.5,32,0,1,1,1,1,1,0,1,1,1,0,0,1,0,18028,7440,6638,53516,73973,43453
SlLfWzeYOrVBxCd-0QILZQ,The Boiling House,"1990 Marlton Pike E, Ste 10",Cherry Hill,NJ,8003,39.8996609,-74.9532997,4.0,238,1,1,1,2,1,1,1,1,1,1,1,0,4,0,10884,7816,2038,132441,162489,30629
IbndcMURguByburM72o3SA,State Street Kitchen,24 S State St,Newtown,PA,18940,40.2285432,-74.9370146,4.5,124,0,0,1,1,1,1,0,1,0,0,0,0,4,0,11515,7555,3170,132214,176878,28825
diwwt5QBU3-Thig9SVlsOA,Brew Brothers,345 N Virginia St,Reno,NV,89501,39.5295616355,-119.8145651258,3.5,592,1,0,1,2,1,0,0,1,1,1,0,0,2,0,2776,332,2213,44393,55619,4252
0l_njS4wGMadAk1b4nZRUA,Panera Bread,150 Allendale Rd,King of Prussia,PA,19406,40.089985,-75.382315,2.5,58,1,0,1,2,1,1,0,1,1,1,0,0,4,0,11438,5682,4700,97305,114751,23441
3c9TiufCFT2yXXj3R08Vwg,Snellgroves Restaurant,109 S Collins St,Plant City,FL,33563,28.0148425,-82.1231756,3.5,64,1,0,1,1,1,1,0,1,1,1,0,0,4,0,9967,4131,3525,44969,56756,25488
TJe1ZGe-X0-GjOQd00kKxA,Brixx Craft House,"7700 W State St, Ste 100",Boise,ID,83714,43.671633,-116.283591,4.0,115,1,1,1,2,1,1,1,1,0,1,1,1,1,0,10436,4830,4394,59873,87541,20290
HCbJPXWXvwN-C7XfmVy3gA,Granite City Food & Brewery,"49 W Maryland St, Ste B03A",Indianapolis,IN,46204,39.7664200969,-86.1592453161,3.5,258,1,1,1,2,1,1,1,1,1,1,0,1,4,0,4582,498,3999,73281,100517,5125
8JEOmVGQffkr6xtn4vvplQ,Pita Kebob,3028 E College Ave,Ruskin,FL,33570,27.713401,-82.394372,4.0,142,1,1,1,1,1,1,0,1,1,1,0,0,1,0,9788,5270,2497,54977,71811,20758
zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,115 W St Louis St,Lebanon,IL,62254,38.6041071,-89.8085329,3.5,52,0,1,1,2,1,1,0,1,1,1,1,1,4,0,2281,1200,874,68342,79219,6089
adb1hOYICrJ1Ix8M0sRpbw,Kuzina By Sofia,404 Rt 70 W,Cherry Hill,NJ,8034,39.9124556,-75.0022657,3.0,125,1,1,1,2,1,1,1,1,1,1,0,0,4,0,7233,3665,2457,95248,114885,18151
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,629 S 2nd St,Philadelphia,PA,19147,39.9403745,-75.1456109,3.5,44,1,1,1,2,1,1,1,1,1,1,0,0,4,0,18239,6207,10326,86147,128426,36228
H3JjbID9Zhukpqr9uupHAA,Jackson's Bar & Bistro - Nashville,1800 21st Ave S,Nashville,TN,37212,36.1366299,-86.8004366,3.0,402,0,1,1,2,1,0,0,1,1,1,0,0,4,0,7149,2539,4043,71699,135689,20148
O5zuQH_YowDC-rsK8ZEXCA,Tin Drum Asia Cafe,"3867Tampa Rd, Ste 305",Tampa,FL,34677,28.0451503082,-82.6812278379,3.0,62,0,0,1,1,1,1,0,1,1,1,0,0,4,0,8566,4188,2925,69861,100486,20842
Hp3Ony7yW60VPuWHQFIIHA,Frady's One Stop Food Store,3231 Dauphine St,New Orleans,LA,70117,29.963974,-90.0426042,4.5,73,0,1,0,1,1,1,0,1,1,0,0,0,4,0,11998,2259,7592,29663,52476,23389
UX3eq0WsVva-cqlVrzyzFg,Cantina Los Tres Hombres,926 Victorian Ave,Sparks,NV,89431,39.5351105,-119.7548567,3.0,284,1,1,1,2,1,1,1,1,0,1,1,1,4,0,15322,5782,5826,50233,63806,36189
sophKEDc2rBDe-cuOaJDkA,365 Caffe Italiano,"28210 Paseo Dr, Ste 100, Shops At Wiregrass",Wesley Chapel,FL,33543,28.187946572,-82.3500558385,4.5,127,1,1,1,1,1,1,1,1,1,1,1,0,2,0,9822,5932,2307,84375,99790,21898
PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,Philadelphia,PA,19103,39.9515211,-75.1798731,3.5,111,1,1,1,2,1,1,1,1,1,1,1,1,3,0,15765,3571,11832,79110,134268,21908
dD2p903p8lU0IgXT3OFluA,Edgehill Cafe,1201 Villa Pl,Nashville,TN,37212,36.1429685,-86.7923549,3.5,245,0,1,1,1,1,1,0,1,1,1,0,1,4,0,7149,2539,4043,71699,135689,20148
6mCsrUp9Vl4iXMbOxWtVjA,Dosa Hut Indian Grill,4047 Nolensville Pike,Nashville,TN,37211,36.0810108,-86.7280648,4.0,99,1,0,1,1,1,1,0,1,1,1,1,0,4,0,29353,11228,13064,59075,75023,74755
Mt1FB8hM4XTi3Tk4i0q5gQ,Nicola's Pizza,8 N Franklin St,Lambertville,NJ,8530,40.3664177,-74.9416785,4.0,54,1,1,1,1,1,1,0,1,1,1,0,0,4,0,2958,1577,1158,108963,161712,8071
2DsplH_vy4GCcEnVpn0AbA,Cafe Olivia,222 E Market St,Indianapolis,IN,46204,39.768973,-86.153309,4.5,34,0,1,1,1,1,1,0,1,1,0,0,0,3,0,4582,498,3999,73281,100517,5125
zIDuAuwyaLmNwv4k18mbwA,India Palace,4213 Lafayette Rd,Indianapolis,IN,46254,39.8317759,-86.2404209,3.5,167,1,0,1,2,1,1,1,1,0,1,0,0,1,0,15672,4929,6951,46693,66661,38095
yQhu3LbnB2gQgrquHZ_S6Q,Saladworks,2804 S Eagle Rd,Newtown,PA,18940,40.2340046,-74.9414872286,3.0,42,1,0,1,2,1,1,0,1,0,1,0,0,4,0,11515,7555,3170,132214,176878,28825
gl9APAes1BYYt_8UsDVsPg,Ted's Luncheonette,1201 Clearwater Largo Rd N,Largo,FL,33770,27.9278613,-82.7961982,4.0,37,0,0,1,1,1,1,0,1,1,1,0,0,1,0,11561,4295,5694,47908,66174,25281
gyUBYwpUO_u0nqZdre4l1g,Shanghai Express,Church Rd & Hainespo,Marlton,NJ,8053,39.916113059,-74.9215189617,4.0,74,1,0,1,1,1,1,0,1,1,1,0,0,1,0,18109,10081,6155,99454,124618,45538
rqaIe-61HKlWaGYmVwlw8Q,Petite 4,4 N Latah St,Boise,ID,83706,43.6046712,-116.22804,4.5,121,1,1,1,3,0,0,1,1,1,0,0,0,4,0,14623,4965,7987,57664,80395,29732
kq5Ghhh14r-eCxlVmlyd8w,The Coventry Deli,2000 Market St,Philadelphia,PA,19103,39.953291,-75.173645,4.0,65,1,1,1,1,1,1,0,1,0,1,0,0,4,0,15765,3571,11832,79110,134268,21908
pP4q0Mym-qt20nRqTKbzhQ,Morton's The Steakhouse,1411 Walnut St,Philadelphia,PA,19102,39.949603,-75.1649701595,3.5,149,0,0,1,4,1,0,1,0,0,1,0,1,1,0,3365,765,2525,110096,177851,4705
YhQAQhG1IkXJH7oLZMbM9w,Del Taco,252 Los Altos Pkwy,Sparks,NV,89431,39.5836527,-119.740935,1.5,60,1,1,1,2,1,1,0,1,1,1,0,0,2,0,15322,5782,5826,50233,63806,36189
vVm2qH6n4tWzN_qv6PBIVw,The Humming Bird Jerk house,"17631 Bruce B Downs Blvd, Unit F",Tampa,FL,33647,28.130283,-82.364992,3.5,32,1,0,0,1,0,0,0,1,0,0,0,0,1,0,25565,14474,7443,89270,120593,55034
y1HgVnt4K5owmYXC5yXLGg,Flambo Caribbean Restaurant,820 N Broad St,Philadelphia,PA,19130,39.9686973,-75.1606146,4.5,138,1,0,1,2,1,1,1,1,1,1,0,0,4,0,14431,4157,9196,88858,121662,24870
jBCgQ6nZDsMCWU7eaSxOpw,Whaley's Blazin BBQ,18213 N US Highway 41,Lutz,FL,33549,28.137927,-82.4626332,4.5,58,0,0,1,1,1,1,0,1,0,1,0,0,1,0,6883,3765,2188,71490,93450,16132
hfN3l0gJ-XszD1XFGNvA6A,Akira,720 Haddon Ave,Collingswood,NJ,8108,39.91576,-75.068382,3.0,40,1,0,1,2,1,1,1,1,0,1,0,0,4,0,7951,3630,3415,94851,111237,18045
I2CxrvM0BGH1svfxqGGD2g,M.L.Rose Craft Beer & Burgers - Melrose,"2535 8th Ave S, Ste 107",Nashville,TN,37204,36.1226231735,-86.7761365195,3.5,472,0,1,1,2,1,0,0,1,1,1,1,1,4,0,6080,2403,3122,89954,148770,12031
RrqRin8BYGrTlJbCDwtLzA,Wawa,3744 Spruce St,Philadelphia,PA,19104,39.9510885597,-75.1989988336,3.5,50,1,0,1,1,1,1,0,1,1,0,0,0,4,0,16508,2296,10575,28603,46430,51808
IgNDlyLERBwFGphgcC5VDQ,Cosi,1128 Walnut St,Philadelphia,PA,19107,39.9487514826,-75.1604487143,2.5,63,0,1,1,1,1,1,0,1,1,1,0,0,4,0,7823,1743,5771,60676,91522,14875
3swM60bulnut1d4AZti80Q,Rockabilly Grill,3700 N Oracle Rd,Tucson,AZ,85705,32.2739894,-110.9775344,3.5,37,0,1,1,1,1,0,0,1,1,1,1,1,3,0,24304,6115,12791,30885,42888,57521
4fUok5d5vgdQEb1Bzzg0rA,Olive Garden Italian Restaurant,1315 W Esplanade Ave,Kenner,LA,70065,30.0200051249,-90.2493493809,3.5,115,1,0,1,2,1,1,0,1,1,1,1,1,4,0,19229,8675,6958,57206,79639,51116
5cz1XbgalpQ89gsNQwneVQ,Portofino's Italian Kitchen,6742 Memorial Hwy,Tampa,FL,33615,27.9955961525,-82.5828616138,4.0,59,1,0,1,2,1,1,1,1,1,1,1,0,1,0,18028,7440,6638,53516,73973,43453
oRZzKWdyMQld6N_y4UWkAg,Terra Sur Cafe,"5330 Ehrlich Rd, Ste 103",Tampa,FL,33624,28.0819277157,-82.5391477434,4.0,316,1,1,1,2,1,1,0,1,0,1,0,0,4,0,15043,7421,5070,71668,89008,37457
biGIDbCGsAZJ-Y4zyV_b_A,Taza Mediterranean Grill,1076 East Brandon Blvd,Brandon,FL,33511,27.940439,-82.266787,4.5,65,1,0,1,1,1,1,0,1,1,1,0,0,1,0,22334,9691,7955,61149,79120,52003
L_sXNadtVHjxMw7Yhvkj9Q,Naoki Ramen,915 Race St,Philadelphia,PA,19107,39.955454,-75.1549,4.0,92,0,0,1,2,1,1,1,1,1,1,0,0,2,0,7823,1743,5771,60676,91522,14875
CjkxTRergWcYWb4SVW3gxw,Smokin' Out,3333 US Hwy 19,Holiday,FL,34691,28.20766,-82.740475,4.5,88,0,0,1,1,1,1,0,1,1,1,0,0,2,0,8946,3575,3913,40537,51692,21079
K5ffo0hkwhG33BDNQrJF6A,Slate Bleu Restaurant,100 S Main St,Doylestown,PA,18901,40.3072739,-75.1299259,4.0,105,0,1,1,3,1,0,1,1,1,1,0,1,4,0,10486,5469,3860,103626,133441,27598
oQYZ3j2H758y07p4RpCWug,August Rhodes Bakery,3073 N Campbell Ave,Tucson,AZ,85719,32.2627192,-110.9446296,4.5,89,1,1,1,2,1,0,0,1,1,1,1,0,4,0,18119,3526,12170,34013,48571,43989
HuDNHqKv9n1mWpe4BqCnwA,Minas Pizza,6151 Ridge Ave,Philadelphia,PA,19128,40.0352350987,-75.2167929785,3.0,54,1,0,1,1,1,1,0,1,0,1,0,0,2,0,16980,6799,8312,76854,95665,35239
H2nFgEFitRk7ltE8IRH0xA,Taco Bell,4647 West Kennedy Blvd,Tampa,FL,33609,27.944918,-82.523213,2.5,42,1,0,1,1,1,1,0,1,1,1,0,0,4,0,8497,3215,4322,85174,140410,15999
Y2NFeGtConx1qciSPKcRlA,Reginelli's Pizzeria - Closed,3244 Magazine St,New Orleans,LA,70115,29.9233127,-90.0875812,3.5,171,1,1,1,2,1,1,0,1,1,1,0,1,4,0,14847,5248,8000,77961,119724,31695
T9n_LqUUhC2b1ALhg57Y5Q,Texas Roadhouse,1545 Street Rd,Bensalem,PA,19020,40.09165,-74.93997,4.0,240,0,0,1,2,1,1,0,1,0,1,0,1,3,0,21379,10247,7290,70488,94744,55493
n1HOCV74TBVZdQdOUgp9xA,Moe's Southwest Grill,611 Berlin Cross Keys Rd,Sicklerville,NJ,8081,39.7357834,-75.0083576,2.0,50,0,0,1,1,1,1,0,1,1,1,0,0,4,0,16793,8832,4030,87407,104760,50589
NQSnr4RPUScss607oxOaqw,Chase's Hop Shop,7235 Rising Sun Ave,Philadelphia,PA,19111,40.0603863,-75.0845897,4.5,116,1,1,1,1,1,1,0,1,1,1,1,0,1,0,24355,9602,8521,51567,69823,63090
Ea2hPSFazxXITET4f6ZJhw,Beef 'O' Brady's,18421 N US Hwy 41,Lutz,FL,33549,28.140648,-82.461204,3.0,46,1,0,1,2,1,1,1,1,1,1,1,1,4,0,6883,3765,2188,71490,93450,16132
7utsfp2dXJ09j8Gb9hAIvA,Suzy-Jo Donuts,49 E 4th St,Bridgeport,PA,19405,40.1053723,-75.3404208,4.5,89,0,0,1,1,0,0,0,1,0,0,0,0,1,0,2034,517,1036,52370,81058,5127
joeRm-_7T0XTkMdKo2nbaA,Paola's Pizzeria,128 N Wayne Ave,Wayne,PA,19087,40.0451819,-75.388188,4.5,126,0,1,1,1,1,1,0,1,1,1,1,0,4,0,11749,7202,3478,144022,196760,32225
