Population,Postal_Code
32786,1760
4119,1770
5112,1773
6590,1775
17659,1776
13109,1778
38903,1801
24487,1803
33201,1810
30310,1821
24911,1824
25137,1830
13682,1835
4733,1840
47225,1841
24425,1843
47249,1844
28352,1845
15237,1850
30190,1851
33508,1852
27606,1854
6338,1860
8891,1863
14892,1864
23956,1867
28667,1876
11305,1879
22325,1887
21382,1890
18203,1904
25251,1905
14027,1907
16283,1913
39502,1915
28789,1930
13175,1938
19808,1945
8987,1949
17416,1950
3558,1951
8283,1952
50944,1960
6952,1966
41109,1970
6089,1983
16332,2019
21561,2021
7542,2025
24711,2026
5589,2030
4226,2032
16865,2035
31635,2038
180,2047
23184,2048
25429,2050
12752,2053
7891,2054
10981,2056
10506,2061
28602,2062
17486,2067
1707,2071
18472,2081
14636,2090
3825,2108
3771,2109
1733,2110
11999,2114
26498,2118
25346,2119
25978,2121
23479,2122
33295,2125
25562,2126
31799,2127
16439,2129
35401,2130
29826,2131
21503,2134
17607,2140
11910,2141
24514,2143
25439,2145
59503,2148
51808,2151
17497,2152
19505,2170
27003,2186
14608,2188
14559,2189
16119,2190
8457,2191
1146,2199
0,2203
2090,2210
26125,2215
61025,2301
32741,2302
4356,2322
15059,2332
7518,2338
13879,2339
10745,2343
23106,2346
10612,2347
16029,2351
12564,2356
17828,2359
56271,2360
12629,2364
2820,2367
32158,2368
17489,2370
6916,2379
14052,2420
17342,2421
29311,2446
14238,2452
28968,2453
8742,2460
7059,2461
1554,2462
11710,2465
22491,2467
5273,2468
32014,2472
16532,2476
10306,2482
19931,2492
8955,2494
842,2534
19583,2536
6293,2537
4067,2539
635,2543
226,2553
9852,2554
3115,2556
4491,2557
2156,2558
539,2561
310,2564
4000,2568
10481,2571
2725,2575
3754,2576
10,2584
14089,2601
1850,2630
253,2637
3955,2644
9663,2645
1676,2646
14006,2649
848,2650
16,2651
1175,2652
5911,2653
3518,2655
6261,2660
173,2663
9371,2664
828,2666
2580,2667
3278,2668
1023,2671
6577,2675
52,2713
3123,2715
4745,2717
6655,2718
15873,2719
14767,2723
2631,2725
4907,2738
6045,2739
43087,2740
10307,2743
11900,2744
11442,2748
26739,2760
3988,2764
19031,2766
11608,2769
5093,2770
13708,2771
15840,2777
6411,2779
15717,2790
246,2791
2607,2804
16310,2806
1051,2807
2401,2808
278,2815
32611,2816
6135,2817
18082,2818
6111,2822
791,2826
2172,2827
5976,2830
3515,2831
4608,2832
784,2833
5405,2835
136,2836
3400,2838
1392,2841
16095,2842
8412,2857
45199,2860
26178,2861
19385,2863
33396,2864
17171,2871
218,2872
5860,2874
307,2875
20371,2879
7841,2881
14184,2882
10627,2885
19912,2888
1696,2898
29359,2904
25223,2905
28387,2906
27445,2907
37467,2908
43540,2909
1370,2912
21963,2914
16897,2915
28790,2919
11247,3031
4953,3032
4987,3033
4219,3037
33269,3038
6341,3042
1573,3043
2758,3046
3426,3048
7688,3049
8258,3052
23957,3053
25477,3054
15086,3055
2500,3057
29357,3060
26694,3062
5254,3070
5109,3071
12897,3076
10155,3077
28776,3079
1615,3082
1366,3084
13592,3087
3049,3101
36476,3103
13374,3106
10314,3109
247,3215
2159,3216
960,3218
2091,3221
5353,3222
3427,3223
3660,3225
1117,3226
925,3227
5589,3229
1231,3230
202,3231
115,3233
4572,3234
8562,3235
75,3238
1340,3240
876,3241
1085,3243
8092,3244
15963,3246
1662,3251
4049,3254
2090,3255
2169,3256
4455,3257
2517,3258
368,3259
809,3260
4246,3261
7468,3264
2163,3266
1272,3268
312,3273
8324,3276
2952,3278
1123,3280
8785,3281
999,3284
2479,3285
4731,3290
143,3293
33008,3301
15524,3303
7519,3304
25280,3431
395,3441
1491,3442
1590,3444
691,3445
6285,3446
1654,3449
4077,3451
5457,3452
2086,3455
852,3457
6643,3458
6014,3461
1109,3464
2156,3465
5939,3561
10051,3570
124,3575
1369,3580
1107,3583
3774,3584
547,3586
1641,3588
1052,3590
1145,3592
313,3593
639,3595
521,3597
2654,3602
1160,3605
2811,3608
854,3609
911,3740
4208,3741
14103,3743
216,3746
4762,3748
583,3751
810,3752
86,3754
10538,3755
503,3765
1716,3768
754,3771
7841,3773
1966,3774
1237,3777
790,3779
410,3780
1840,3781
4086,3784
21532,3801
3716,3809
1538,3810
6753,3811
824,3812
3250,3813
2329,3814
1368,3816
3807,3818
4377,3819
30039,3820
1719,3823
2470,3826
3150,3827
1610,3830
20955,3833
6786,3835
1489,3836
1519,3837
1031,3838
3566,3840
6334,3841
15345,3842
2238,3844
991,3845
799,3846
294,3847
6020,3848
1585,3849
558,3852
968,3854
1680,3856
4603,3858
4330,3861
4278,3862
1696,3864
7609,3865
20758,3867
2469,3869
5162,3870
5711,3873
8776,3874
1465,3882
178,3883
7261,3885
2112,3886
2154,3887
327,3890
6314,3894
7246,3901
2211,3902
6211,3903
7703,3904
1780,3905
4647,3906
894,3907
9738,3909
328,3910
250,3911
2429,4001
23146,4005
96,4006
5151,4009
1597,4010
3808,4015
71,4019
1403,4020
1148,4022
608,4024
1725,4029
7879,4032
16381,4038
7422,4039
3111,4040
4281,4042
10810,4043
7496,4046
1892,4047
230,4050
1153,4051
3793,4055
257,4056
56,4057
412,4063
8212,4064
539,4066
1505,4068
1465,4069
18760,4074
3871,4079
4525,4083
1786,4085
2116,4087
1516,4088
9589,4090
911,4091
8034,4093
1274,4095
8349,4096
17227,4101
11158,4105
1391,4110
3312,4217
1472,4219
3077,4220
190,4226
79,4227
6,4228
4350,4236
238,4237
1416,4238
4228,4250
2095,4253
3181,4254
3064,4256
2681,4257
2617,4258
3264,4259
5542,4260
444,4261
2326,4263
918,4265
37,4267
514,4275
5841,4276
6474,4280
5116,4281
5734,4282
433,4285
3224,4287
1815,4289
1541,4290
948,4292
25,4343
2951,4344
11646,4345
2355,4347
2976,4348
1158,4349
2571,4351
1632,4352
1535,4354
2600,4355
3399,4357
4276,4358
560,4360
44899,4401
819,4406
176,4408
1290,4410
9482,4412
196,4413
276,4415
5468,4416
1771,4418
2794,4419
1366,4421
823,4424
4720,4426
2858,4427
3146,4428
4717,4429
1728,4430
81,4431
1092,4435
1124,4438
1840,4441
779,4453
69,4454
2851,4456
4835,4462
2847,4463
684,4464
2702,4469
609,4471
2144,4472
418,4475
1259,4476
316,4478
1343,4479
559,4481
233,4485
964,4487
1202,4488
140,4491
1967,4493
407,4495
3757,4496
10818,4530
1168,4539
80,4541
1152,4547
1042,4548
806,4551
1752,4553
710,4554
1643,4555
1249,4556
308,4558
2216,4562
1534,4563
323,4571
5075,4572
1510,4574
604,4576
3072,4579
12974,4605
1272,4606
1182,4607
508,4611
589,4612
183,4613
811,4617
3121,4619
1412,4622
1054,4623
47,4625
507,4626
1636,4627
107,4629
1398,4630
1331,4631
1923,4634
61,4635
136,4637
2261,4640
1018,4643
580,4648
235,4650
1690,4652
3424,4654
1119,4655
363,4657
1353,4658
1309,4660
488,4662
1238,4664
1638,4667
204,4669
576,4671
484,4674
253,4675
1088,4676
274,4677
1767,4679
1131,4680
1043,4681
1466,4684
332,4685
441,4691
516,4693
2376,4694
9992,4730
1670,4732
221,4733
617,4735
1112,4739
1287,4740
4676,4743
470,4746
3344,4756
2870,4757
1498,4758
726,4763
66,4764
400,4768
9692,4769
762,4772
925,4776
398,4779
560,4781
426,4783
1970,4786
544,4787
7297,4841
1536,4847
69,4852
1580,4854
3330,4856
1533,4858
724,4859
1591,4860
2781,4861
3592,4862
1165,4863
4751,4864
2136,4911
1048,4912
8806,4915
349,4918
1713,4920
1593,4921
1164,4922
2275,4924
75,4925
3486,4927
2198,4928
1181,4932
65,4933
261,4936
9869,4938
118,4940
1751,4941
1792,4943
1852,4947
913,4949
4855,4950
906,4951
1829,4952
4265,4957
125,4962
7238,4963
221,4964
1976,4965
4230,4967
1362,4969
1620,4970
9903,4976
799,4978
1064,4979
630,4982
523,4984
114,4985
1721,4986
2134,4988
4215,4989
9123,5001
2664,5032
2744,5033
310,5034
638,5035
1037,5036
1230,5038
471,5040
605,5042
1758,5045
1139,5046
2429,5048
348,5052
332,5053
3363,5055
567,5056
346,5058
874,5059
258,5067
3125,5068
555,5069
324,5071
412,5076
730,5079
140,5084
4979,5089
4643,5101
112,5141
750,5146
448,5152
9226,5156
1049,5158
3408,5250
274,5252
685,5253
273,5254
4121,5255
2547,5262
581,5342
917,5343
2119,5345
763,5350
824,5352
1072,5353
813,5355
717,5356
148,5358
594,5359
127,5362
2021,5363
28185,5401
17593,5403
7240,5404
1734,5439
1998,5440
339,5442
1714,5444
3754,5445
15373,5446
4977,5450
4447,5454
1080,5455
1277,5456
2044,5458
2156,5459
1938,5462
471,5463
3008,5464
896,5471
1413,5473
803,5474
3183,5476
4397,5477
14449,5478
0,5481
7198,5482
93,5485
1654,5486
1498,5487
7690,5488
3174,5489
5909,5491
1767,5494
11916,5602
423,5648
574,5649
1123,5650
1546,5651
776,5652
547,5653
970,5654
2868,5655
56,5657
1660,5660
5620,5661
80,5664
634,5669
4314,5672
2574,5673
4984,5676
2232,5677
458,5681
1251,5682
20802,5701
1306,5734
4402,5735
684,5736
875,5737
1072,5738
1407,5739
25,5740
597,5742
4330,5743
533,5744
280,5747
323,5748
10491,5753
832,5757
1827,5759
1000,5761
542,5762
2747,5763
1216,5769
713,5772
1129,5774
623,5775
714,5776
9444,5819
662,5820
1269,5821
1873,5822
1139,5824
191,5825
983,5826
309,5827
1928,5828
273,5833
522,5842
2556,5843
1252,5846
879,5847
231,5850
6528,5851
368,5858
1819,5859
2557,5860
356,5862
899,5867
364,5868
20,5901
188,5902
868,5903
267,5904
827,5905
1178,5906
177,5907
18385,6001
6226,6016
2865,6018
10129,6019
0,6020
314,6021
5117,6026
1492,6027
1287,6031
17675,6032
28762,6033
18565,6037
1942,6039
35306,6040
4986,6043
30519,6051
34863,6053
6707,6057
169,6061
3285,6063
882,6065
29219,6066
19709,6067
1612,6068
2535,6069
15104,6070
11645,6071
25705,6074
12659,6076
12413,6078
1381,6081
7276,6085
4936,6088
1232,6090
140,6091
4203,6092
29079,6095
12426,6098
18786,6107
24307,6108
12650,6110
30562,6111
22879,6112
17267,6117
26956,6118
12887,6120
3297,6232
8244,6234
5492,6237
12428,6238
11183,6239
6650,6241
60,6243
2841,6247
5603,6248
7308,6249
1922,6254
4744,6255
2154,6256
4498,6259
9510,6260
586,6262
345,6263
166,6264
495,6266
11481,6268
9844,6269
4140,6277
6041,6279
3162,6280
1096,6282
3282,6330
5137,6331
2592,6334
6729,6335
84,6336
31242,6340
67,6350
162,6353
6141,6354
12552,6357
5313,6359
4720,6365
7429,6370
8373,6374
5399,6378
2862,6380
11947,6382
2672,6384
19237,6401
6033,6403
27860,6405
693,6409
29161,6410
214,6414
16857,6415
14005,6416
4629,6417
12914,6418
6525,6419
7388,6422
12808,6424
3245,6426
22375,6437
2550,6438
5438,6441
2745,6442
36493,6450
24419,6451
3148,6455
295,6456
47648,6457
38207,6460
14552,6461
157,6467
19479,6468
16003,6470
6853,6472
10242,6475
13956,6477
12683,6478
10431,6479
9508,6480
1277,6481
11557,6482
16540,6483
39559,6484
45241,6492
6963,6498
2737,6510
53600,6511
29861,6512
38978,6513
26265,6514
17141,6515
55564,6516
14853,6517
19848,6518
16428,6519
5563,6524
8990,6525
23397,6605
7843,6607
13671,6608
22735,6610
36091,6611
7453,6612
25139,6704
27122,6705
10715,6710
1735,6752
1699,6754
2853,6756
2258,6757
5720,6759
7561,6762
31975,6770
26889,6776
1733,6777
8324,6779
2376,6782
3689,6784
36482,6790
1140,6793
1065,6794
14144,6795
1009,6796
9984,6798
18581,6801
16466,6804
49482,6810
13881,6812
20732,6820
33900,6824
24027,6830
14792,6831
19738,6840
18078,6850
3646,6853
29100,6854
24677,6877
26647,6880
10179,6883
9110,6896
18071,6897
6828,6901
63406,6902
14499,6903
19649,6905
9088,6906
9016,6907
16305,7001
47312,7003
7440,7004
15269,7005
22844,7008
12411,7009
23594,7010
11703,7012
27051,7013
5184,7014
22625,7016
35945,7017
28322,7018
11513,7020
13835,7022
7318,7023
35353,7024
30555,7026
4226,7027
40684,7032
10607,7035
29358,7039
23876,7040
6868,7041
12138,7043
4194,7046
60773,7047
30074,7050
46182,7052
29305,7054
69816,7055
5372,7058
15311,7059
12949,7062
13538,7063
3723,7064
27346,7065
5819,7068
18061,7070
20554,7071
6127,7072
7626,7075
23480,7076
2766,7077
13250,7078
16316,7079
23377,7080
53053,7083
12554,7086
3606,7088
6730,7092
60884,7093
16264,7094
19844,7095
46983,7105
31298,7106
37650,7107
24386,7108
26417,7112
14748,7114
26263,7201
40849,7202
21085,7203
21398,7205
31219,7208
36352,7302
60104,7305
43812,7307
522,7311
6494,7401
19403,7407
32457,7410
5781,7416
10580,7417
7439,7421
6616,7422
25890,7430
7128,7432
2405,7435
4494,7440
11046,7444
14484,7446
24985,7450
11601,7452
12211,7456
3559,7457
11360,7458
3457,7460
9615,7463
6244,7465
0,7495
15406,7502
18723,7503
12882,7504
2256,7505
10804,7512
12709,7524
43010,7601
11842,7604
8950,7605
2310,7606
1849,7620
4881,7627
17433,7628
7379,7630
5309,7632
4664,7640
3382,7641
10207,7642
24136,7644
7832,7645
16341,7646
5152,7647
7978,7649
26342,7652
8669,7656
12729,7660
11340,7661
5530,7662
13659,7663
39776,7666
14573,7670
26339,7675
5730,7677
23813,7701
6133,7704
1533,7711
39158,7712
8574,7716
1901,7717
6263,7718
21538,7719
4298,7720
2974,7721
10209,7722
1020,7723
42508,7726
7050,7727
56257,7728
17396,7730
5189,7732
19569,7735
4264,7737
6095,7738
5938,7739
31038,7740
18666,7746
28030,7748
3279,7750
19736,7751
37554,7753
6363,7755
3342,7756
5356,7757
4967,7758
9283,7760
8403,7762
8097,7764
25386,7801
9555,7825
6180,7826
14150,7828
157,7833
17722,7834
12241,7843
89,7846
1670,7847
9054,7849
6436,7850
119,7851
3609,7852
3944,7856
4332,7863
22098,7866
25291,7869
26,7870
21165,7871
10619,7876
934,7878
192,7880
16,7881
14492,7882
10078,7885
22806,7901
26747,7920
7621,7921
12246,7922
7534,7924
120,7926
3403,7927
19144,7928
8559,7930
9868,7932
3251,7933
1501,7934
313,7935
11157,7936
228,7939
17278,7940
9539,7945
3144,7946
19564,7950
43747,7960
4,7961
11768,7974
754,7976
669,7977
589,7979
22274,8002
30629,8003
22448,8005
518,8006
6975,8008
33,8011
38992,8012
44833,8021
8783,8022
451,8023
2274,8026
4888,8027
20078,8028
4784,8029
13410,8030
11584,8031
16261,8033
18151,8034
24308,8037
137,8039
1002,8041
203,8042
2909,8045
31587,8046
12495,8048
24285,8050
45538,8053
27179,8055
4736,8056
21090,8057
5612,8059
24713,8060
15756,8062
3102,8063
7398,8065
8437,8066
1635,8067
6727,8068
13076,8069
225,8072
203,8073
58,8074
28894,8075
8385,8078
37433,8080
50589,8081
9455,8083
7040,8084
18737,8085
24664,8088
4253,8089
5357,8091
3673,8092
39940,8094
236,8095
9090,8098
7565,8102
15190,8103
29077,8105
9874,8106
13675,8107
18045,8108
22407,8109
10007,8201
9454,8203
18557,8204
13442,8215
4125,8223
573,8224
8659,8225
19292,8232
42532,8234
1103,8241
3216,8242
2114,8243
92,8246
925,8247
158,8248
10364,8251
46872,8302
2057,8311
7875,8312
12702,8318
1253,8319
10524,8322
804,8323
1761,8326
3070,8327
1347,8328
979,8340
2239,8341
5030,8343
5847,8344
805,8345
275,8348
2347,8349
448,8352
516,8353
43355,8360
17352,8361
39554,8401
6354,8402
997,8403
6582,8501
11317,8502
17736,8505
5231,8510
27869,8520
4767,8525
54392,8527
315,8528
8071,8530
47115,8540
3818,8554
877,8555
6629,8558
4982,8559
3656,8560
5371,8562
28038,8611
22723,8619
14693,8620
12331,8629
22832,8638
3553,8641
18567,8690
15104,8691
92843,8701
20512,8721
11045,8722
31641,8723
42352,8724
4774,8730
1484,8732
1042,8738
2010,8740
2488,8741
4212,8751
2074,8752
25302,8755
33217,8757
4067,8802
2771,8804
37972,8807
86,8808
8401,8810
46298,8816
39590,8820
354,8821
30354,8822
9016,8823
12115,8824
4707,8825
4629,8827
2178,8828
3725,8829
45620,8831
2863,8832
8796,8833
3845,8836
15847,8837
38367,8844
8435,8848
17220,8852
5247,8853
55961,8854
144,8858
53099,8861
12320,8863
18811,8872
49921,8873
23537,8879
16008,8882
8257,8884
7077,8886
10063,8889
17,8890
55223,8901
41153,8902
21102,10001
81410,10002
56024,10003
7135,10005
6988,10007
61347,10009
31834,10010
24090,10012
27700,10013
31959,10014
16575,10017
5229,10018
0,10020
31924,10022
59283,10024
34003,10026
45141,10028
26999,10030
56438,10031
57331,10032
33969,10035
24711,10036
17416,10037
20300,10038
41905,10040
11661,10044
26121,10075
3,10103
0,10111
0,10115
60453,10128
0,10152
0,10153
0,10154
1685,10162
2,10165
0,10167
0,10168
0,10171
2,10173
0,10174
0,10177
9,10199
0,10271
0,10279
7853,10280
39706,10301
19088,10302
42193,10304
55909,10306
27357,10308
24962,10310
0,10311
59304,10312
78309,10453
86547,10456
79492,10458
57311,10460
50502,10461
67970,10463
4534,10464
97060,10467
76103,10468
66631,10469
15293,10470
66358,10472
58519,10473
5487,10502
108,10503
851,10505
5790,10506
6408,10507
19507,10509
9988,10510
2246,10511
25590,10512
11946,10514
5289,10516
539,10517
10875,10522
4421,10524
1809,10526
908,10527
12280,10528
12604,10530
4931,10532
10739,10536
2416,10537
16597,10538
26339,10541
20135,10543
141,10545
7647,10547
3487,10548
16638,10549
10170,10553
31796,10562
19929,10567
38352,10573
5116,10576
8675,10579
17208,10580
22540,10591
5117,10594
8195,10595
968,10597
28647,10598
17045,10603
11250,10604
16499,10606
6824,10607
63393,10701
20301,10703
30165,10704
8679,10706
25120,10710
40827,10801
12435,10803
23465,10901
2,10911
414,10914
4540,10916
11647,10918
1040,10919
8554,10920
4135,10921
1559,10922
13120,10924
4539,10925
1023,10931
13779,10941
47226,10950
252,10953
23045,10954
31521,10956
3291,10958
5950,10962
1267,10969
2126,10973
3152,10974
281,10975
2258,10976
59048,10977
13383,10980
2842,10984
58,10985
1974,10986
3395,10987
9293,10989
20631,10990
9621,10992
4769,10993
7085,10994
6756,10996
26883,11001
41356,11003
14016,11004
23821,11010
17729,11021
9027,11023
17962,11030
40782,11040
520,11042
30171,11050
8344,11096
34133,11102
27232,11104
51128,11201
78134,11204
81677,11206
93386,11207
94469,11208
68853,11209
62008,11210
90117,11211
84500,11212
63767,11213
88630,11214
63488,11215
54316,11216
35881,11217
75220,11218
92221,11219
78895,11221
36934,11222
47621,11224
56829,11225
101572,11226
41788,11228
80018,11229
33336,11231
67053,11233
87757,11234
79132,11235
13393,11239
0,11351
85871,11355
23438,11356
0,11359
18884,11360
28606,11361
17823,11362
6988,11363
42252,11365
41047,11367
38615,11369
39688,11370
0,11371
66636,11372
100820,11373
43600,11374
89830,11377
34981,11378
34821,11379
98592,11385
18556,11411
34882,11412
38912,11413
26148,11414
19341,11415
24861,11416
28967,11417
36256,11418
47211,11419
30425,11422
0,11424
17590,11426
23593,11427
19168,11428
25105,11429
184,11430
60809,11432
59129,11434
17949,11436
19148,11501
7406,11507
2653,11509
33048,11510
4673,11514
10549,11518
27273,11530
12065,11545
793,11547
2780,11548
56435,11550
23616,11552
26034,11553
38132,11554
7823,11557
8370,11558
8176,11559
37280,11561
22666,11563
8690,11565
35321,11566
1398,11569
26646,11570
30574,11572
16272,11575
12337,11577
40113,11580
45768,11590
10480,11596
13328,11598
4079,11697
27109,11701
14498,11702
40222,11704
62543,11706
6669,11709
34496,11710
22658,11714
4752,11715
10700,11716
60745,11717
3589,11719
29189,11720
6292,11721
35177,11722
3220,11724
29150,11725
19857,11726
29030,11727
28032,11729
14712,11730
18949,11733
32098,11735
1223,11739
9454,11740
27655,11741
13261,11742
67094,11746
19803,11747
3345,11749
9531,11752
12014,11753
18958,11754
42791,11756
28506,11763
13200,11764
737,11765
12635,11766
9506,11769
137,11770
24235,11776
8968,11777
15524,11780
21288,11783
24655,11784
16821,11788
7895,11789
18511,11790
25076,11791
4056,11796
9041,11797
39553,11801
28127,11803
5010,11804
1398,11932
6844,11933
7263,11934
3304,11935
15398,11937
5210,11940
1986,11941
4603,11942
4299,11944
14068,11946
416,11947
14573,11949
3326,11954
3285,11955
349,11956
743,11957
635,11958
939,11959
12834,11961
494,11962
6622,11963
534,11965
26583,11967
522,11970
5818,11971
1321,11972
9,11973
408,11975
3255,11978
4990,11980
60,12007
28937,12010
3010,12015
7930,12018
14740,12019
31192,12020
929,12022
2196,12023
31,12024
3882,12027
1113,12029
836,12032
802,12035
113,12040
481,12041
271,12042
8509,12043
584,12045
19664,12047
7070,12051
16918,12054
1835,12057
1445,12058
1632,12059
1507,12060
9050,12061
563,12064
2143,12066
1506,12067
256,12069
270,12071
2890,12072
2963,12074
3418,12075
1500,12076
23773,12078
479,12085
1073,12087
6262,12090
1666,12093
2268,12094
416,12108
189,12115
1920,12116
3256,12117
13897,12118
613,12120
1916,12121
1373,12125
987,12130
338,12132
3516,12134
1679,12137
3168,12138
295,12139
5137,12143
499,12147
4569,12148
2474,12149
2818,12154
1977,12155
848,12156
6309,12158
7896,12159
944,12160
160,12161
365,12164
175,12165
1363,12166
2438,12167
1952,12168
306,12169
1753,12173
345,12174
198,12176
518,12177
14733,12182
2620,12183
7148,12184
2037,12185
6277,12186
697,12187
10980,12188
17568,12189
674,12190
1722,12192
2233,12197
9628,12202
29952,12203
7349,12204
1948,12207
20702,12208
10158,12210
6489,12222
27582,12302
29857,12303
21482,12304
5716,12305
25636,12306
15335,12308
3385,12404
780,12405
173,12407
397,12410
497,12411
673,12412
277,12416
470,12421
339,12422
1097,12423
6602,12428
1381,12431
492,12432
483,12433
751,12434
326,12435
417,12436
59,12438
1980,12440
114,12441
953,12442
497,12444
5061,12446
388,12448
1674,12451
213,12452
366,12453
297,12454
1988,12455
639,12456
763,12457
277,12460
1484,12463
1020,12464
536,12470
215,12471
1572,12472
861,12473
1162,12474
354,12475
18787,12477
634,12480
1356,12481
680,12482
259,12483
2733,12484
865,12485
1523,12486
1292,12489
110,12490
1675,12491
495,12493
1634,12496
4851,12498
1395,12504
167,12507
127,12512
2938,12514
1549,12515
1833,12516
509,12517
5870,12518
3109,12520
1644,12521
5172,12522
1798,12523
13344,12528
2859,12529
124,12530
3601,12531
25307,12533
14578,12538
7802,12540
3001,12543
4763,12545
3039,12546
2891,12547
1494,12548
10201,12549
54447,12550
24438,12553
7338,12564
1487,12565
10753,12566
2854,12567
9826,12569
7699,12570
9918,12571
329,12574
2029,12577
2451,12583
885,12585
12540,12586
1486,12592
43398,12601
42810,12603
11324,12701
172,12720
158,12722
1826,12723
277,12725
1874,12729
786,12732
1446,12733
867,12734
1886,12740
351,12741
181,12742
389,12743
178,12745
937,12746
1714,12747
300,12749
1054,12751
242,12752
7221,12754
1649,12759
482,12760
942,12763
1802,12764
437,12766
253,12769
14511,12771
2297,12775
2180,12776
2460,12779
2312,12780
1668,12783
94,12784
1024,12785
1838,12789
4518,12790
335,12792
14707,12801
7567,12803
26540,12804
306,12808
3528,12809
627,12810
127,12811
150,12812
1574,12814
2274,12817
403,12819
6200,12822
894,12824
3877,12827
9448,12828
4401,12833
6594,12834
2603,12835
574,12836
857,12837
608,12838
13588,12839
77,12841
1166,12842
600,12843
385,12849
366,12851
436,12852
1770,12853
187,12856
498,12857
59,12858
2220,12859
748,12860
609,12861
36,12864
3663,12865
36915,12866
4084,12871
736,12873
142,12874
4602,12885
4972,12887
33439,12901
1217,12903
2148,12910
36,12911
1157,12913
1044,12914
2135,12916
1403,12917
2381,12918
3037,12919
2842,12920
2410,12921
65,12922
632,12923
158,12924
2208,12926
224,12927
2028,12928
3938,12929
1236,12932
17,12933
1074,12934
1748,12935
599,12936
1572,12937
205,12939
646,12942
459,12943
4080,12944
638,12945
929,12950
546,12952
1259,12956
1726,12957
1369,12959
180,12961
5499,12962
161,12964
516,12965
963,12970
6364,12972
265,12975
260,12976
1753,12977
2253,12981
1072,12985
201,12987
1010,12989
1623,12993
2086,12996
526,12998
150,13020
39506,13021
1733,13024
1914,13026
7109,13029
15551,13031
12790,13032
1989,13034
8617,13035
8680,13036
8897,13037
2356,13042
30112,13045
5015,13053
2806,13060
173,13062
1898,13063
12390,13066
24931,13069
2393,13076
6735,13077
3631,13080
4871,13082
4409,13084
168,13087
22156,13088
30124,13090
326,13103
15567,13104
6175,13108
2338,13110
1700,13111
287,13113
6356,13114
224,13115
2328,13120
1174,13122
124,13124
3895,13131
4244,13132
119,13134
6617,13135
61,13138
596,13141
6451,13142
1926,13145
663,13155
695,13157
5184,13159
2027,13160
10741,13165
5610,13166
3342,13167
16029,13203
19931,13204
16443,13206
13897,13207
13243,13209
27606,13210
8793,13214
15245,13215
15363,13219
8891,13224
0,13290
98,13301
1153,13303
3625,13308
526,13313
443,13314
1419,13315
6460,13316
3784,13317
1079,13319
1049,13321
1076,13322
11323,13323
2149,13324
866,13325
2056,13327
3889,13329
189,13331
62,13333
1590,13335
8205,13340
102,13341
165,13342
6735,13346
1469,13348
10093,13350
824,13361
60,13362
2315,13363
243,13364
1534,13402
236,13404
725,13406
4280,13408
2374,13409
