postal_code,restaurant_id,restaurants_name,address,city,states,latitude,longitude,stars_rating,review_count,restaurants_delivery,outdoor_seating,accepts_creditcards,price_range,alcohol,good_for_kids,reservations,restaurants_takeout,wifi,good_for_groups,wheelchair_accessible,happy_hour,noise_level,dietary_restrictions,total_estimate_households_per_zip,total_estimate_married_couple_family_households,total_estimate_nonfamily_households,median_income_dollars
46203,hTbh7GvxD4bzsamttFyy7w,1205 Distillery,630 Virginia Ave,Indianapolis,IN,39.758119,-86.145885,5,68,t,t,t,2,t,f,f,t,t,f,t,f,1,f,14085,4662,6134,41321
19107,rVGxva6cx2eID4ghDLVHJg,1225Raw Sushi and Sake Lounge,1225 Sansom St,Philadelphia,PA,39.949849,-75.161549,3.5,545,t,t,t,2,t,f,t,t,t,t,f,t,4,f,7823,1743,5771,60676
37203,eWzMF5AFIAiyixTWor9uOw,12th & Porter,114 12th Ave N,Nashville,TN,36.157377,-86.787984,3.5,46,f,f,t,2,t,f,f,f,f,t,f,f,3,f,10201,1230,8276,58032
19107,n38QafGVzbdjavNHtCcpqA,12th Street Cantina,Reading Terminal Market,Philadelphia,PA,39.953296,-75.159439,3,83,f,f,t,1,t,t,f,t,f,f,f,f,3,f,7823,1743,5771,60676
70116,hX8mDoDLluKNeKwU9mShJA,13 Monaghan,517 Frenchmen St,New Orleans,LA,29.962952,-90.057508,3.5,361,t,f,t,2,t,f,f,t,t,t,f,f,4,f,5823,1119,4026,36842
19107,O0jIkgflIoU-PYNydIuMeQ,13 Restaurant,1201 Market St,Philadelphia,PA,39.952714,-75.160534,3,94,f,t,t,2,t,f,t,t,t,t,t,t,4,f,7823,1743,5771,60676
19107,szdH65mQam5lNncCfJLUwA,13th Street Gourmet Pizza,209 S 13th St,Philadelphia,PA,39.948398,-75.162246,2.5,154,t,f,t,1,t,t,f,t,f,t,f,t,4,f,7823,1743,5771,60676
83702,dJ2CzwEGQdOo3dcPWVwOPQ,13th Street Pub & Grill,1520 N 13th St,Boise,ID,43.630023,-116.203129,3.5,212,f,f,t,2,t,t,f,f,t,t,t,f,4,f,11069,4230,5804,68165
70112,6xA3Zg26SbaftWvzf6Rn4Q,14 Parishes Jamaican Restaurant,234 Loyola Ave,New Orleans,LA,29.953546,-90.074872,4,147,t,f,t,2,t,t,f,t,t,t,t,t,2,f,1951,156,1534,29625
46204,NFWczFFz9FWlTzdtx7ODqQ,14 West Restaurant & Suites,14 W Maryland,Indianapolis,IN,39.765900,-86.158875,3.5,56,f,t,t,3,t,f,t,t,t,t,f,f,1,f,4582,498,3999,73281
19102,r4eDzodjjoxk79ydS7V67Q,1518 Bar & Grill,1518 Sansom St,Philadelphia,PA,39.950198,-75.166639,4,221,t,t,t,2,t,f,t,t,f,t,f,t,4,f,3365,765,2525,110096
89502,THSP3XyEjOgqpXcqwJoCyQ,168 Chinese & Sushi,2303 S Virginia St,Reno,NV,39.502363,-119.801631,4,139,f,f,t,2,t,t,t,t,f,t,f,f,4,f,18616,6344,8448,48782
85719,tBWjMqUc0yP5lRElCfDaKg,1702,1702 E Speedway Blvd,Tucson,AZ,32.235704,-110.946571,4,337,t,f,t,2,t,t,f,t,t,t,f,f,4,f,18119,3526,12170,34013
46225,0INrDX--UuVvHVKpk4mL5Q,1718 Bates-Hendricks HouseBar,1718 S East St,Indianapolis,IN,39.744221,-86.149719,5,41,t,t,t,2,t,t,f,t,f,f,f,f,4,f,2163,516,1141,35694
37064,YXd2FBeoEZhhIa2sQtQHvQ,1799 Kitchen and Cocktails,130 2nd Ave N,Franklin,TN,35.926417,-86.868141,4,42,t,t,t,1,t,f,t,t,t,f,t,t,1,f,21795,14497,4934,105342
62269,edyGVHt_dAR5Dhe6DpuMcQ,17th Street Bar & Grill,1711 W Hwy 50,O'Fallon,IL,38.586186,-89.914529,3,51,f,t,t,2,t,t,t,t,f,t,f,f,4,f,12419,7397,3198,86493
33609,D2zdlEHEO5aG-gUbIt_qTQ,18 Bagels Co.,111 S Dale Mabry Hwy,Tampa,FL,27.944044,-82.505912,3,264,t,f,t,2,f,t,f,t,f,f,t,f,4,f,8497,3215,4322,85174
33785,GBkGQ9bxS6zhXGu7uTEdzg,18 On the Rocks Restaurant and Tiki Bar,2405 Gulf Blvd,Indian Rocks Beach,FL,27.906252,-82.846687,4,212,t,t,t,2,t,f,t,t,t,t,t,t,4,f,2874,1462,1212,73786
37203,rDg7qsQwE55xxJiU65_N7A,1808 Grille,1808 W End Ave,Nashville,TN,36.152870,-86.797082,4,212,f,f,t,2,t,f,t,f,t,t,f,t,4,f,10201,1230,8276,58032
62269,TwlB1w7z_pL3bXKiHbT8oA,1818 Chophouse,"1405 N Green Mount Rd, Ste 100",O'Fallon,IL,38.580094,-89.929630,4,145,t,t,t,3,t,f,t,t,t,t,f,t,4,f,12419,7397,3198,86493
62025,wMGjF3eTtmkOPudjV_z--Q,1818 Chophouse,6170 Bennett Drive,Edwardsville,IL,38.793869,-89.976996,4,188,f,t,t,2,t,f,t,t,t,t,t,t,4,f,12548,6871,4355,84715
33607,stVic6I1BT7lnJEGl0jzfw,1823 Kitchen & Bar,2900 Bayport Dr,Tampa,FL,27.965500,-82.550111,4,36,f,t,t,2,t,t,t,t,t,t,t,f,1,f,10932,2867,5698,46587
33602,yysYraC02lxQq3_kgkvW7Q,1895 Kitchen Bar Market,510 N Franklin St,Tampa,FL,27.948767,-82.458697,3,76,f,t,t,2,t,t,f,t,t,t,t,t,4,f,8599,2172,5631,71894
19146,rjdUiKAXXYHIH20zVTcPXw,19 Degrees,1847 Christian St,Philadelphia,PA,39.941182,-75.174132,3.5,69,f,t,t,1,t,t,f,t,t,f,f,f,1,f,17302,4674,9517,77091
19348,gqhOAmj7npSiq4b6j5-vuw,1906 Fine Dining,1001 Longwood Rd,Kennett Square,PA,39.871298,-75.674900,4,154,f,t,t,3,t,t,t,f,t,t,t,f,4,f,8940,5306,2316,96729
46224,b1S2MMrdV1sUc5gBhBZWAQ,1911 Grill,1067 Main Street,Speedway,IN,39.781260,-86.240760,4,118,f,t,t,2,t,t,t,t,t,t,t,f,4,f,13754,4288,5758,40965
8608,nnJ8r-RN80f-Iaunp6smyA,1911 Smoke House Barbeque,11 W Front St,Trenton,NJ,40.219365,-74.766680,4,136,t,t,t,2,t,f,t,t,t,f,f,t,4,f,481,97,301,16991
46225,sOi4BjvBZHX40f72XukcVg,1913 Restaurant,40 W Jackson Pl,Indianapolis,IN,39.763900,-86.159557,3.5,36,f,f,t,2,t,f,t,t,t,t,f,f,1,f,2163,516,1141,35694
33563,x7qasJ7YQuIaDkYJiaaAgQ,1916 Irish Pub,2309 W Thonotosassa Rd,Plant City,FL,28.023670,-82.147870,3.5,62,f,f,t,2,t,f,f,t,t,t,t,t,4,f,9967,4131,3525,44969
19103,5eldbLrF_oodWvu1VuEP8w,1925 Cocktail Lounge,111 S 17th St,Philadelphia,PA,39.951034,-75.168670,2.5,47,f,f,t,3,t,f,t,f,t,t,t,t,3,f,15765,3571,11832,79110
46225,bp-YfsJnbSje3ayCZLGaUA,1933 Lounge,127 S Illinois St,Indianapolis,IN,39.764822,-86.159830,4.5,160,f,f,t,3,t,f,f,f,t,t,f,t,4,f,2163,516,1141,35694
46037,mjOmgTps0-zZ8DfmJO3iAg,1933 Lounge,"9707 District North Dr, Ste 1120",Fishers,IN,39.955021,-86.001396,4,150,f,t,t,3,t,f,t,f,f,t,f,f,4,f,14661,10039,3087,115018
33764,Y5RUhntIPDfe2eKriQFIZg,1933 Pub & Grill,2245 Nursery Rd,Clearwater,FL,27.941845,-82.744241,4,174,t,t,t,2,t,t,f,t,t,t,t,t,4,f,11852,5425,4981,53416
19082,NsUjEmrd2311SwPsPzjxsw,1st Indian Kitchen,8917 West Chester Pike,Upper Darby,PA,39.967869,-75.289546,4.5,50,t,f,t,1,t,f,f,t,t,f,f,f,1,f,15251,5637,5129,45569
70065,F3b3-mmClvVPUT0WvK_guA,2 Amigos,3826 Williams Blvd,Kenner,LA,30.026448,-90.238355,3.5,122,t,t,t,2,t,t,f,t,t,t,f,f,4,f,19229,8675,6958,57206
19001,lVirNKheM7Ps8eVRt0IyOg,2 Fat Dogs,1156 Easton Rd,Abington,PA,40.123221,-75.132898,5,85,f,f,t,1,t,t,f,t,f,f,t,f,1,f,6132,3596,1574,88867
19807,ssCzAwPICd79FWhkqdpgBg,2 Fat Guys,"3801 Kennett Pike, Ste E120",Wilmington,DE,39.777366,-75.596149,3.5,56,f,f,t,2,t,t,f,t,t,t,f,f,4,f,3216,1988,1040,124104
19707,CZ2KPQtt0ah0up00YK0Ypg,2 Fat Guys American Grill,701 Ace Memorial Dr,Hockessin,DE,39.793462,-75.709208,3.5,69,t,t,t,2,t,t,f,t,f,t,t,f,4,f,5937,4398,1169,148698
33542,ALQ-X5550gg9ddLpB2kfqw,2 Minutes Two,4447 Gall Blvd,Zephyrhills,FL,28.222421,-82.180222,4,84,f,f,t,1,t,t,t,t,f,t,f,f,4,f,10301,4000,4520,36239
89509,hujxUyxa9vXRjJdY18LyWw,2 Tha Joint Sushi,160 W Plumb Ln,Reno,NV,39.505377,-119.806347,3.5,381,t,t,t,2,t,t,t,t,t,t,t,f,4,f,17073,6298,8482,62844
89502,S8TWiMbbBaCNUHbQXOCBNg,2-D Wok,"2303 S Virginia St, Ste 5",Reno,NV,39.501944,-119.802355,4.5,171,f,f,t,2,t,t,t,t,t,t,t,f,4,f,18616,6344,8448,48782
33765,weIYxWpFp1TLoaX6XE4Elw,20 Shekels Bread,1881 Drew St,Clearwater,FL,27.967550,-82.759597,5,80,f,f,t,2,t,f,f,t,t,f,t,f,1,f,6372,2992,2533,48400
19422,WK7ZL3iyTjxjBILrnXTjmQ,202 Family Diner,1765 Dekalb Pike,Blue Bell,PA,40.149919,-75.307035,1.5,39,f,f,t,1,t,t,f,t,t,t,f,f,4,f,7366,4846,1752,126108
83702,jtDTN8JfNk1vl2uLb2nHpw,208 Pho & Vegan,812 W Fort St,Boise,ID,43.622180,-116.198011,4,92,t,f,t,1,t,t,f,t,t,t,f,f,4,f,11069,4230,5804,68165
19103,MNv5nQf1KgTUi7zFeDEazA,20th Street Pizza,108 S 20th St,Philadelphia,PA,39.951708,-75.173713,4.5,78,t,f,f,1,t,f,f,t,f,f,f,f,1,f,15765,3571,11832,79110
33602,jHtqYimdAVzlZEtmmoLY7w,211,211 N Tampa St,Tampa,FL,27.945968,-82.457590,3.5,32,t,f,t,2,t,t,t,t,t,t,f,t,1,f,8599,2172,5631,71894
37203,7gqRNDQs9ezTngtXCZ03Fg,212 Cafe and Wellness Center,212 Louise Ave,Nashville,TN,36.152031,-86.805093,4,96,t,t,t,2,t,t,t,t,t,t,t,f,1,f,10201,1230,8276,58032
93117,VXxZJNSscbm5bpG5ll2rcQ,212° Hotpot,"6533 Trigo Rd, Ste 106",Goleta,CA,34.410842,-119.855236,4,73,f,f,t,2,t,t,f,f,f,t,t,f,2,f,16568,6412,8286,70878
33606,c6zgxvHn5j816s9DDAFYjA,220 East,220 E Davis Blvd,Tampa,FL,27.926763,-82.453836,3.5,90,f,t,t,2,t,t,t,t,t,t,f,f,4,f,8894,2956,5155,95799
62025,ZEd_RWWRVGqLlM5DUiXCeA,222 Artisan Bakery,222 N Main St,Edwardsville,IL,38.813633,-89.957905,4.5,104,t,t,t,1,t,t,f,t,t,t,f,f,2,f,12548,6871,4355,84715
33605,6F4JadEP6ouUvNiIKr8pMg,22nd Street Coffee,208 N 22nd St,Tampa,FL,27.950110,-82.434836,4.5,58,t,t,t,1,f,f,f,t,t,f,t,f,1,f,7585,1427,4123,23632
46205,rx_88M6zPns-IqMTMkpKWw,22nd Street Diner,2205 N Delaware St,Indianapolis,IN,39.797596,-86.153078,3.5,58,f,t,t,2,t,t,f,t,t,t,f,f,4,f,11857,3414,6243,52068
19026,LBNgb1sVhDdL6UFUt4G9_Q,2312 Garrett Bar,2312 Garrett Rd,Drexel Hill,PA,39.950551,-75.283759,3.5,121,t,f,t,2,t,f,t,t,t,t,t,t,4,f,11854,5471,4066,73762
19103,PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,Philadelphia,PA,39.951521,-75.179873,3.5,111,t,t,t,2,t,t,t,t,t,t,t,t,3,f,15765,3571,11832,79110
19129,CNVC7kz8xTaRMOiE7XdEQw,26 North BYOB,26 N 3rd St,Philadelphia,PA,39.950978,-75.145601,4,49,f,f,f,3,t,f,t,f,t,t,t,f,4,f,4901,1547,2759,72328
19130,Gy6tBn6lrf4AN2Gr1I8Oyg,2637brew,2637 W Girard Ave,Philadelphia,PA,39.974356,-75.180168,4,121,t,t,t,2,t,t,f,t,t,t,t,t,4,f,14431,4157,9196,88858
33701,UQKjyQZtDz8hO-1xKTEQvw,28 Grams Pizza,405 Central Ave,Saint Petersburg,FL,27.771468,-82.638819,4.5,70,t,t,t,2,t,t,f,t,f,f,t,f,1,f,9120,2230,6371,46786
19106,jEasa4Sbzy4NdLyzPPgQyg,2nd Story Brewing,117 Chestnut St,Philadelphia,PA,39.948474,-75.143556,4,561,t,t,t,2,t,f,t,t,t,t,t,t,4,f,7625,2113,5180,116368
18966,5RXDgXZWajY_cPWKbOGqKQ,2nd Street Bagels,496 2nd St Pike,Southampton,PA,40.169909,-75.046301,4,60,t,t,t,1,t,t,f,t,t,t,f,f,4,f,13591,8535,3904,99189
19148,6vp741cxMvQMicJ3qZuLGQ,2nd Street Brew House,1700 S 2nd St,Philadelphia,PA,39.926632,-75.149373,4,72,f,t,t,2,t,f,f,t,t,t,f,f,4,f,19493,7020,7959,60226
18966,6w86pEr2M3_-u9qqv0kedA,2nd Street Pike Grill,257 2nd Street Pike,Southampton,PA,40.163707,-75.045987,4.5,52,t,t,t,2,t,t,t,t,t,t,t,f,2,f,13591,8535,3904,99189
33701,lDWmc7FpLjYoSFxrtbnMbg,2nd and Second,201 2nd Ave N,St Petersburg,FL,27.773710,-82.635751,3,337,t,t,t,2,t,t,f,t,t,t,t,t,2,f,9120,2230,6371,46786
46123,LgiAzhOqrzl95NNRLziH2A,3 Agaves Mexican Restaurant & Cantina,"7840 E US Hwy 36, GH",Avon,IN,39.764246,-86.383958,4,50,t,t,t,1,f,f,f,t,f,f,f,t,1,f,13379,8103,2695,92811
46224,yO6iUqrjaYZkGYP2_SxWiA,3 Brothers Pub & Grub,5836 Crawfordsville Rd,Speedway,IN,39.798010,-86.261840,4,57,f,t,t,2,t,t,f,t,t,t,f,t,4,f,13754,4288,5758,40965
37206,8DPP4sQpIo5ccP0DDmDj3w,3 Crow Bar,1024 Woodland St,East Nashville,TN,36.177335,-86.750075,3.5,226,f,t,t,1,t,f,f,t,t,t,t,t,3,f,11584,3749,5770,66065
46204,zBs8GENWVLpX7KcBIPiB0A,3 Days in Paris,222 E Market St,Indianapolis,IN,39.768827,-86.153496,4.5,334,t,t,t,1,t,t,f,t,t,t,t,f,4,f,4582,498,3999,73281
33604,SHpkGboqOYVcdMxftZ88FQ,3 Dot Dash,6203 N Florida Ave,Tampa,FL,28.003594,-82.459110,4.5,89,f,t,t,2,t,f,f,t,f,f,f,f,1,f,15811,5286,6958,44192
70116,ncI768qIjMFnMwYMppB4tw,3 Potato 4,1235 N Peters St,New Orleans,LA,29.960391,-90.058306,4,45,t,t,t,1,t,t,f,t,f,t,f,f,1,f,5823,1119,4026,36842
46220,oGdbvXKXVCQ8WC_GQePDkQ,3 Sisters Café,6223 N Guilford Ave,Indianapolis,IN,39.869030,-86.142781,4,358,t,t,t,2,t,t,f,t,t,t,f,f,4,f,16879,6824,8390,77377
19073,Fl9l3QBGOvqyEZZIq5Hcpg,3 West,4803 W Chester Pike,Newtown Square,PA,39.976764,-75.438452,3,53,f,t,t,2,t,t,t,t,t,t,f,t,4,f,7920,4693,2558,113430
83709,VD4mZEBNiCeyGSq51XV9jw,3 Wood Pizza & Pub,10497 W Lake Hazel Rd,Boise,ID,43.545104,-116.312763,4.5,47,f,f,f,1,f,f,f,f,f,f,f,f,1,f,21787,12577,6435,74941
46260,vpg7BwhGHjsAHm-bC1i3Mw,3 in 1 Restaurant,"1413 W 86th St, Ste A2",Indianapolis,IN,39.911209,-86.184486,5,192,t,f,t,1,t,t,f,t,t,t,t,t,2,f,14220,4964,6451,59522
19312,ypEtkQK37INcwFgyCwiFiA,30 Main,660 Lancaster Ave,Berwyn,PA,40.047585,-75.442132,4,54,t,t,t,2,t,t,t,t,t,t,t,t,4,f,4174,3019,845,164844
19312,UxNB5QSIiLepKdMHeU0qig,30 Main Bistro,660 E Lancaster Ave,Berwyn,PA,40.047727,-75.442333,3.5,104,t,f,t,2,t,t,t,t,t,t,f,f,4,f,4174,3019,845,164844
70116,RloVMlIr8kP8Sn609loBTg,30/90 NOLA,520 Frenchmen St,New Orleans,LA,29.962866,-90.057866,4,308,f,t,t,2,t,f,f,f,f,t,f,t,4,f,5823,1119,4026,36842
33619,WdUqKPbDz33Zk-APMOqJAg,301 Family Restaurant,3407 N US Hwy 301,Tampa,FL,27.974459,-82.359820,4,51,f,t,t,1,t,t,f,t,t,t,f,f,4,f,13347,4327,5202,47677
37208,hYonVJe6xzVBHHT2FLo4zg,312 Pizza Company,371 Monroe St,Nashville,TN,36.177051,-86.787824,3.5,532,t,t,t,2,t,t,f,t,t,t,t,t,4,f,8415,1787,4760,47903
37211,I9WcjQfUvKAJJI5dTDtezg,312 Pizza Company-South Nashville,2190 Nolensville Pike,Nashville,TN,36.127278,-86.752912,3,40,t,t,t,2,t,t,f,t,t,t,t,t,1,f,29353,11228,13064,59075
46220,u3E1zmKRS6Fr0g9QR-l7nA,317 BBQ,6320 Guilford Ave,Indianapolis,IN,39.870255,-86.143293,4.5,108,t,t,t,2,t,f,f,t,t,t,t,f,4,f,16879,6824,8390,77377
46220,goXz8V980-WFIreZRbLVSQ,317 Burger,915 E Westfield Blvd,Indianapolis,IN,39.870542,-86.142418,4,422,t,t,t,2,t,t,t,t,t,t,t,f,4,f,16879,6824,8390,77377
46240,5Rf3wov_sairy5wgPc85UA,32 Taps,4825 E 96th St,Indianapolis,IN,39.925809,-86.087686,3.5,34,f,t,t,1,t,f,t,f,t,t,t,t,1,f,10165,3497,6021,56744
19063,XrtJUw6CyipHlFkKrdHbtw,320 Market Café,211 W State St,Media,PA,39.918431,-75.392733,3.5,149,t,t,t,2,t,t,f,t,t,t,f,f,4,f,14697,7779,5546,102401
19081,CcUgFbaMhgoKJ1T42Pk9JQ,320 Market Café Swarthmore,713 S Chester Rd,Swarthmore,PA,39.889533,-75.353383,4,78,t,t,t,2,t,t,f,t,f,t,f,f,4,f,3599,1948,1253,106356
19087,PdE7nvDj2fq8Rv7CTcijWA,333 Belrose Bar & Grill,333 Belrose Ln,Radnor,PA,40.045758,-75.361827,4,136,f,t,t,2,t,f,t,t,t,t,f,f,4,f,11749,7202,3478,144022
19002,t3SxZckwrIk0Vp7F3OOz-w,34 East Tavern,34 E Butler Ave,Ambler,PA,40.154090,-75.222951,2.5,49,f,t,t,2,t,t,t,t,t,t,f,f,4,f,11620,7069,3140,117544
46204,vsPqhEazL7nZQnRMC2eubQ,36 Degrees,36 E Washington St,Indianapolis,IN,39.767381,-86.156823,3,35,t,t,t,2,t,f,t,t,t,t,f,f,3,f,4582,498,3999,73281
37013,xq7UnFYQ4ZvLV6j1UKzEzQ,360 Burger,5356 Hickory Hollow Pkwy,Nashville,TN,36.045872,-86.653318,3.5,211,f,t,t,2,t,t,t,t,t,t,f,f,4,f,36217,15188,12915,60602
37205,pFoS41r45N2VL0sHIGdJ-g,360 Wine Bar Bistro,"6000 Highway 100, Ste 100",Nashville,TN,36.097918,-86.873164,3.5,141,t,t,t,3,t,f,t,t,t,t,f,f,1,f,10999,5375,5001,107876
33543,sophKEDc2rBDe-cuOaJDkA,365 Caffe Italiano,"28210 Paseo Dr, Ste 100, Shops At Wiregrass",Wesley Chapel,FL,28.187947,-82.350056,4.5,127,t,t,t,1,t,t,t,t,t,t,t,f,2,f,9822,5932,2307,84375
83703,1TK1Kbh-_PWLDXt6UfmnEw,36th Street Bistro,3823 N 36th St,Boise,ID,43.654795,-116.234622,3.5,90,f,t,t,2,t,t,t,t,t,t,f,f,4,f,7354,3333,3156,62222
37205,rvV9TgsRtMnyTG-KfwaoEw,37 Degrees Sth,6000 Highway 100,Belle Meade,TN,36.097882,-86.873379,4,62,f,t,t,2,t,t,f,t,t,t,t,f,1,f,10999,5375,5001,107876
19380,wnWdf_IeR8wCnesA1p-3nw,39 West American Bistro,39 W Gay St,West Chester,PA,39.960163,-75.606261,4,36,f,t,t,3,t,f,t,t,t,f,t,f,4,f,20999,11647,7482,106738
89511,qQpgF5fGMTulUUtjzlsnwg,399 sushi,"6405 S Virginia St, Ste 3",Reno,NV,39.466836,-119.784719,4.5,142,t,f,t,2,t,f,f,t,f,f,f,f,1,f,11651,6956,3398,106071
33759,I6du-oh5u1GdOpZGtNij_Q,"3B''s Burgers, Bourbon, & Beer","1500 N McMullen Booth Rd, Ste A13",Clearwater,FL,27.980080,-82.710089,4,37,t,t,t,1,t,f,t,t,t,f,t,t,1,f,7820,3208,3414,53611
19123,WpxcyiUAYYQAnivqz62JtA,3J's Food Market,801 N 2nd St,Philadelphia,PA,39.962993,-75.140693,4.5,46,t,f,t,1,t,t,f,t,t,t,t,f,1,f,8565,2020,5678,77111
37210,hMLcTXMk6xif0qfBi8-8sw,3rd And Lindsley,816 3rd Ave S,Nashville,TN,36.152199,-86.769902,4,196,t,f,t,2,t,f,f,t,t,t,f,t,3,f,7337,1651,4221,36985
