Restaurant_ID,Restaurants_Name,Address,City,State,Postal_Code,Latitude,Longitude,Stars_Rating,Review_Count,Restaurants_Delivery,Outdoor_Seating,Accepts_CreditCards,Price_Range,Alcohol,Good_For_Kids,Reservations,Restaurants_TakeOut,WiFi,Good_For_Groups,Wheelchair_Accessible,Happy_Hour,Noise_Level,Dietary_Restrictions
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,4.0,389,1,1,1,2,1,1,0,1,0,1,1,0,4,0
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,New Orleans,LA,70112,29.9506467229,-90.0744274301,4.5,350,1,1,1,2,1,0,1,1,1,1,1,1,4,0
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,129 2nd Ave N,Nashville,TN,37201,36.1626492,-86.7759733,4.5,593,1,1,1,2,1,1,0,1,1,1,0,0,4,0
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,1931 Park Ave,Saint Louis,MO,63104,38.6172724,-90.2127841,3.5,80,0,0,1,2,1,1,1,1,1,1,0,1,4,0
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,901 Iberville St,New Orleans,LA,70112,29.9554151,-90.0700619,4.0,382,0,0,1,2,1,1,0,1,1,1,1,1,4,0
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,163 107th Ave,Treasure Island,FL,33706,27.7694046,-82.767317,4.0,129,1,1,1,3,1,0,1,1,1,1,1,0,4,0
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,118 W Adams Ave,Saint Louis,MO,63122,38.5832229,-90.4071872,4.0,73,1,1,1,2,1,1,1,1,1,1,1,1,1,0
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130,39.963077709,-75.1680274529,3.0,137,1,0,1,1,1,1,1,1,1,1,1,0,4,0
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,4880 E 22nd St,Tucson,AZ,85711,32.206315,-110.887843,3.5,56,0,1,1,1,1,1,0,0,0,1,0,1,4,0
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,1,1,1,2,1,1,0,1,0,0,0,0,4,0
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,1,0,1,2,1,1,1,1,1,1,1,0,4,0
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,135 2nd Ave N,Nashville,TN,37201,36.162799,-86.776016,4.0,182,0,1,1,2,1,0,0,1,1,1,0,1,3,0
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,741 Thompson Ln,Nashville,TN,37204,36.112075744,-86.7674462724,1.5,37,1,0,1,1,1,1,0,1,0,1,0,0,1,0
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,1787 Gallatin Pike N,Madison,TN,37115,36.296536,-86.700179,3.5,40,1,0,1,2,1,1,0,1,0,1,0,0,2,0
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,1400 Parkway Ave,Ewing,NJ,08628,40.2668877,-74.8056572,4.0,52,1,1,1,2,1,1,1,1,1,1,0,0,4,0
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,2800 Opryland Dr,Nashville,TN,37214,36.2115923083,-86.6943191727,3.0,1639,1,1,1,3,1,1,1,1,1,1,1,1,4,0
yM8LlTInbQH4FwWC97lz6w,McDonald's,1919 S Jefferson,St. Louis,MO,63104,38.6124951839,-90.2219420671,1.5,100,1,1,1,1,1,1,0,1,1,1,0,0,1,0
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,25340 Sierra Center Blvd,Lutz,FL,33559,28.192191035,-82.396367,4.0,75,1,1,1,1,1,0,0,1,0,0,1,0,1,0
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,216 W Beidler Rd,King of Prussia,PA,19406,40.1124813,-75.3799748,3.5,60,0,0,1,1,0,0,0,1,0,0,0,0,1,0
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,220 2nd St SW,Carmel,IN,46032,39.976614,-86.130124,4.0,175,0,1,1,2,1,1,0,1,1,1,0,0,4,0
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",Indianapolis,IN,46240,39.8887246,-86.1212129,4.0,246,1,0,1,2,1,1,1,1,1,1,0,0,4,0
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,FL,33618,28.09236,-82.500588,4.0,108,0,1,1,2,1,1,0,1,1,1,0,0,3,0
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,2944 W Ina Rd,Tucson,AZ,85741,32.3387235226,-111.0303098651,4.0,58,1,1,1,2,1,1,0,1,1,0,1,1,1,0
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,0,1,0,1,1,1,0,1,1,0,0,0,1,0
xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,14457 N Dale Mabry Hwy,Tampa,FL,33618,28.0787347875,-82.5063104158,3.5,42,1,1,1,2,1,1,1,1,1,1,0,1,4,0
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,9040 Carothers Pkwy,Franklin,TN,37067,35.9565328581,-86.8027199385,4.5,112,1,0,1,2,1,0,1,1,1,0,1,0,1,0
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,38 E Washington St,Indianapolis,IN,46204,39.7672488945,-86.1567753553,4.0,208,0,1,1,2,1,0,1,1,1,0,0,0,4,0
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,Philadelphia,PA,19104,39.9516153765,-75.2033457223,4.0,46,0,0,1,2,1,1,1,1,1,1,0,1,2,0
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,8227 Oak St,New Orleans,LA,70118,29.9486236188,-90.1312502816,3.5,149,1,1,1,2,1,1,1,1,1,1,0,1,4,0
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",Tampa,FL,33607,27.9803985924,-82.5377866183,4.5,39,0,0,1,2,1,1,0,1,1,0,0,0,1,0
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,4100 George J Bean Pkwy,Tampa,FL,33607,27.9767745,-82.5374233,2.5,55,1,0,1,1,0,1,0,1,1,0,0,0,1,0
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,400 E Fairview Ave,Meridian,ID,83642,43.6196488,-116.3871392,4.5,119,0,0,1,1,1,1,0,1,0,1,1,0,4,0
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,219 S 52nd St,Philadelphia,PA,19139,39.9563959,-75.2253784,4.5,66,1,0,1,1,1,1,0,1,1,0,0,0,4,0
dJfkfBbJz7wi0RgW-ph_Eg,Sake House,5106 E Fowler Ave,Tampa,FL,33617,28.055212,-82.399374,3.0,140,1,0,1,2,1,1,1,1,0,1,0,1,4,0
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,300 South St,Philadelphia,PA,19147,39.9412993,-75.1477446,3.0,178,0,0,0,2,1,1,0,1,0,1,0,0,4,0
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,514 S Rampart St,New Orleans,LA,70163,29.95029,-90.074887,3.5,58,0,1,1,2,1,1,1,1,1,1,0,1,4,0
x7_p5O3ChQa7shdHCcLHZQ,Olivier's Creole Restaurant,204 Decatur St,New Orleans,LA,70130,29.9510658,-90.0715323,3.5,172,0,0,1,2,1,0,1,1,0,1,0,0,1,0
JF7iyI3wA_AKi_iXOKi0Qw,Parlor Suburban Square,30 Parking Plz,Ardmore,PA,19003,40.008645,-75.288802,3.5,61,1,1,1,2,1,1,1,1,1,1,1,1,4,0
Pr_Mlt9FqdcW7WCFGJmozA,The Cider Factory,420 S B St,Virginia City,NV,89440,39.305224,-119.652596,4.5,104,1,1,1,2,1,1,1,1,1,1,1,0,1,0
7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,401 E City Ave,Bala Cynwyd,PA,19004,40.0079839104,-75.2126064939,4.0,92,0,0,1,4,1,0,1,1,1,1,1,1,4,0
tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,729 Brunswick Ave,Trenton,NJ,08638,40.23547,-74.7532115132,4.5,93,1,1,1,2,1,1,0,1,1,1,0,0,1,0
zVlhs7BVaouutt-rles-YA,Williams Sub Shop,3801 Tyrone Blvd N,Saint Petersburg,FL,33709,27.806517,-82.749065,4.5,99,0,0,0,1,1,1,0,1,0,1,0,0,4,0
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,"230 Franklin Rd, Ste 11W",Franklin,TN,37064,35.9326054453,-86.860662065,4.5,66,1,1,1,2,1,1,0,1,1,1,1,0,4,0
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,824 S 8th St,Philadelphia,PA,19147,39.9389483,-75.1564078,4.0,79,1,1,1,2,1,1,1,1,1,1,0,1,1,0
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,853 East Grant Rd,Tucson,AZ,85719,32.2509598946,-110.9591583204,4.0,446,1,0,1,2,1,1,1,1,1,1,0,1,4,0
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,,Saint Louis,MO,63116,38.5844866,-90.266699,4.5,49,0,0,1,1,1,1,0,1,0,1,1,0,4,0
TEP-73fGvgSUmtQFaOTA_g,The Steak Out,3640 W Tangerine Rd,Marana,AZ,85658,32.424551,-111.042885,2.5,30,0,1,1,2,1,1,1,1,0,1,0,1,3,0
b7YJrFZWZdI2C5-9nZvVdw,Saltwater Grill,710 S Carrollton Ave,New Orleans,LA,70118,29.944454,-90.133537,2.5,34,0,1,1,2,1,1,1,1,0,1,0,0,4,0
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,"102 Main St, Ste 100",Exton,PA,19341,40.0236651,-75.6291878,3.0,208,1,1,1,2,1,0,0,1,1,1,1,1,4,0
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,20 S 4th St,Saint Louis,MO,63102,38.6243584,-90.1886849,4.0,261,1,1,1,3,1,0,1,1,1,1,0,0,4,0
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,8745 Gunn Hwy,Odessa,FL,33556,28.0921362,-82.5785736,4.0,82,0,0,1,1,1,1,0,1,1,1,0,1,4,0
OfW-VK04qr7b7bPm5QbyLg,Taqueria Feliz,303 Horsham Rd,Horsham,PA,19044,40.1807271,-75.1346993,3.0,77,0,0,1,2,1,1,1,1,1,1,1,1,4,0
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,"680 E 56th St, Ste A",Brownsburg,IN,46112,39.8518617214,-86.3847577572,4.0,74,1,1,1,2,0,1,0,1,0,1,0,1,4,0
bSJczuohHVko33UT82hnfA,Blaze Pizza,611 O'keefe Ave,New Orleans,LA,70113,29.948395,-90.075281,4.0,302,1,1,1,1,1,1,0,1,1,1,1,0,2,0
PCM-vL-vRLJ4HB2OE8Nnbg,Baxter's Saloon & Grill,20 Liberty Blvd,Malvern,PA,19355,40.0536347,-75.526719,2.5,31,0,1,1,2,1,0,1,1,1,1,0,0,2,0
VeqkfRUzZAKlQer3npXPdQ,New India's Kitchen,14222 Manchester Rd,Ballwin,MO,63011,38.5920571,-90.5035651,4.0,130,0,1,1,2,1,1,1,1,0,1,0,0,1,0
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,Philadelphia,PA,19103,39.9506555,-75.1708991,4.0,618,1,1,1,2,1,0,1,1,1,1,0,1,4,0
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,3683 Kings Row,Reno,NV,89503,39.5428346,-119.8569115,4.5,41,1,1,1,1,1,0,0,1,0,0,1,0,1,0
od6skmfXz9twktEAuJHEmw,Ryan Christopher,245 Woodbine Ave,Narberth,PA,19072,40.0099504,-75.2591858,4.0,120,1,1,1,2,1,1,1,1,1,1,0,0,4,0
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,28330 Paseo Dr,Wesley Chapel,FL,33543,28.188219,-82.347274,4.5,496,1,1,1,2,1,1,1,1,1,1,1,1,4,0
4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,956 Embarcadero Del Norte,Isla Vista,CA,93117,34.4115552,-119.8550772,4.0,49,1,1,1,1,1,0,0,1,1,0,1,0,1,0
juVJO2kMrHwCYXwQQmv1Tg,Sidekicks Pizza,1105 Shelby St,Indianapolis,IN,46203,39.7520076,-86.1395724,4.0,45,1,1,1,2,1,1,1,1,1,1,1,0,1,0
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,Philadelphia,PA,19126,40.0520643,-75.1273939,4.5,351,1,0,1,2,1,1,1,1,0,1,0,0,4,0
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,370 Delsea Dr N,Glassboro,NJ,08028,39.7119376,-75.1109667,4.0,88,0,0,1,2,1,1,1,1,0,1,0,0,1,0
kwQzVF5GP8DzdyBavvhIaQ,Fisherman's Cove Seafood,3201 Williams Blvd,Kenner,LA,70065,30.0144336,-90.2402643,4.0,91,0,0,1,2,1,1,0,1,0,1,0,0,4,0
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,2733 De La Vina St,Santa Barbara,CA,93105,34.4362361,-119.7261474,4.0,64,1,0,1,2,1,1,0,1,0,1,0,0,2,0
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,Philadelphia,PA,19147,39.9418766,-75.1451988,4.0,604,0,1,1,2,1,0,1,1,1,1,1,1,4,0
iEC0VzHM2hQ13wM7c0QwgQ,Metro Diner,2390 E Lincoln Hwy,Langhorne,PA,19047,40.180187,-74.87527,3.5,56,1,0,1,2,1,0,0,1,0,1,0,0,1,0
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,5680 S 12th Ave,Tucson,AZ,85706,32.149473,-110.9781864,4.0,92,1,0,1,1,1,1,0,1,1,1,0,0,1,0
JPm93BlP-UHYPqFgK66JUw,Local Links,533 Station Ave,Haddon Heights,NJ,08035,39.8826936,-75.0583844,4.5,70,0,1,1,1,1,1,0,1,1,0,0,0,4,0
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,"7320 Hollister Ave, Ste 1",Goleta,CA,93117,34.4305419,-119.882367,4.0,189,1,1,1,1,1,1,1,1,0,1,1,1,4,0
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,"2400 Market St, Ste 427",Philadelphia,PA,19103,39.9535919923,-75.1794226902,3.5,163,1,0,1,2,1,0,1,1,0,1,0,0,1,0
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,922 Massachusetts Ave,Indianapolis,IN,46202,39.7802203,-86.1418027,4.5,132,0,0,1,2,1,0,0,1,1,1,1,0,4,0
4QFqi8w3rlZTcc5LXKyPJw,Chris' Pizza Village Pleasant View,"244 Village Sq Pleasent, Ste 100",View,TN,37146,36.387932573,-87.0147362534,4.0,31,0,1,1,2,1,1,0,1,0,1,1,0,1,0
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,"4514 B City Line Ave, Ste 220",Philadelphia,PA,19131,40.0027825,-75.2222705,3.0,52,1,0,1,1,1,1,1,1,1,1,1,0,4,0
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's,1119 N Tucker,St. Louis,MO,63101,38.6369079537,-90.1954829934,1.5,62,1,0,1,1,0,1,0,1,1,1,0,0,2,0
pJB63RaQpkTIKBhfTsLQQg,Biryani Hut,"14350 Mundy Dr, Ste  700",Noblesville,IN,46060,39.9970877,-86.0023117,4.0,83,1,1,1,2,0,1,0,1,0,1,0,0,1,0
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,930 Locust St,Philadelphia,PA,19107,39.947207,-75.1572515,4.0,217,1,0,1,1,1,1,0,1,0,0,0,0,1,0
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,700 S 5th St,Philadelphia,PA,19147,39.9408715785,-75.1510468125,4.0,166,0,1,1,2,1,0,1,1,1,1,0,1,4,0
TGfPJHImEq6AQL9a1laxlg,Chick-fil-A,9711 Roosevelt Blvd,Philadelphia,PA,19114,40.08178,-75.0267907,4.0,80,1,0,1,1,1,1,0,1,1,1,0,0,2,0
VCkSUsdL5P0p16DAPxVROA,NY Bagel & Deli Shop,1120 Buttonwood St,Philadelphia,PA,19123,39.960811,-75.1573883,4.0,31,1,0,1,1,0,0,0,1,1,0,0,0,4,0
dIpTuL2T1L98GQGU17IeSw,The Bricks,1327 E 7th Ave,Tampa,FL,33605,27.9600238,-82.4444005,4.0,548,1,1,1,2,1,1,0,1,1,1,1,1,4,0
XRkzSBTroG7kIdI7Z8ic6g,Piccadilly,"2222 Clearview Pkwy, Ste 107",Metairie,LA,70001,29.994939,-90.18365,3.0,51,1,0,1,1,1,1,0,1,1,1,0,0,4,0
FW1PXpUq-yOs-5O_gqz3AQ,Big Mike's BBQ,6901 Sheldon Rd,Tampa,FL,33615,28.0114997,-82.5828401,4.5,32,0,1,1,1,1,1,0,1,1,1,0,0,1,0
SlLfWzeYOrVBxCd-0QILZQ,The Boiling House,"1990 Marlton Pike E, Ste 10",Cherry Hill,NJ,08003,39.8996609,-74.9532997,4.0,238,1,1,1,2,1,1,1,1,1,1,1,0,4,0
pNu5bd9aL3jcJClfdQ86MQ,Momo's Ouzaria Taverna,630 N And S Rd,St Louis,MO,63130,38.6603769097,-90.3371429443,3.5,243,0,1,1,2,1,1,1,1,1,1,0,1,4,0
bdfZdB2MTXlT6-RBjSIpQg,Pho Bistro,903 Embarcadero Del Norte,Isla Vista,CA,93117,34.4129345,-119.8555307,3.0,184,1,1,1,1,1,1,0,1,0,1,0,0,4,0
SwWfW3vBn5QkDE7T3urGAg,Persis Biryani Indian Grill,"630 S Mount Juliet Rd, Ste 310",Mount Juliet,TN,37122,36.162142,-86.516006,4.5,246,1,1,1,2,1,1,1,1,1,1,1,0,4,0
W4rgF_1eKzFZiGUOsgbGMA,Amber Indian Restaurant,12510 N Meridian St,Carmel,IN,46032,39.9710819,-86.1601728,4.0,243,1,0,1,2,1,1,1,1,1,1,1,0,1,0
yN6jZyG1G1FG_HCZQlJZ1g,City Barbeque,9367 Ambleside Dr,Fishers,IN,46038,39.979376,-86.001692,4.0,188,1,1,1,2,1,1,0,1,1,1,0,0,4,0
jGewGnIYcf9LFBcR8lMC5g,Picasso Restaurant & Bar,36 W State St,Media,PA,19063,39.9179115,-75.390854,3.0,34,0,1,1,2,1,0,1,1,0,1,0,1,4,0
lVTNjVoTMOkD-eT--u0oA,El Rancho Nuevo,1644 Country Club Plaza Dr,Saint Charles,MO,63303,38.7687445,-90.5219795,3.5,66,1,0,1,2,1,1,1,1,1,1,0,0,3,0
0sr1EyOc6Td1C-962QW88w,La Cucina Italian Eatery,1642 Butler Pike,Conshohocken,PA,19428,40.088398,-75.2926963,4.0,44,1,1,1,2,1,1,0,1,1,1,1,0,4,0
SFKjUQ1gmfwm7cJhMCFmkA,ZigZag Scallop,4417 Calienta St,Hernando Beach,FL,34607,28.497700000000002,-82.650015,4.0,214,1,1,1,2,1,1,1,1,1,1,1,1,2,0
xwSWtJcQkzTF6HNm_IMgcg,Rusty's Pizza Parlor,270 Storke Rd,Goleta,CA,93117,34.4290427,-119.8693616,2.5,94,1,0,1,2,1,1,1,1,0,1,1,0,4,0
IbndcMURguByburM72o3SA,State Street Kitchen,24 S State St,Newtown,PA,18940,40.2285432,-74.9370146,4.5,124,0,0,1,1,1,1,0,1,0,0,0,0,4,0
diwwt5QBU3-Thig9SVlsOA,Brew Brothers,345 N Virginia St,Reno,NV,89501,39.5295616355,-119.8145651258,3.5,592,1,0,1,2,1,0,0,1,1,1,0,0,2,0
0l_njS4wGMadAk1b4nZRUA,Panera Bread,150 Allendale Rd,King of Prussia,PA,19406,40.089985,-75.382315,2.5,58,1,0,1,2,1,1,0,1,1,1,0,0,4,0
lB6jIOb1UBATmdfot4KJew,Soco's Gyros,5530 S Lindbergh Blvd,Saint Louis,MO,63123,38.5245347,-90.355678,4.0,126,1,0,1,1,1,1,0,1,0,1,0,0,4,0
cm0bhBDPM3bjBefmEXa3BQ,Nudy's Cafe - Chadds Ford,240 Painters' Crossing,Chadds Ford,PA,19317,39.8808598,-75.5482765,3.5,63,1,1,1,2,1,1,0,1,0,1,1,0,4,0
3c9TiufCFT2yXXj3R08Vwg,Snellgroves Restaurant,109 S Collins St,Plant City,FL,33563,28.0148425,-82.1231756,3.5,64,1,0,1,1,1,1,0,1,1,1,0,0,4,0
TJe1ZGe-X0-GjOQd00kKxA,Brixx Craft House,"7700 W State St, Ste 100",Boise,ID,83714,43.671633,-116.283591,4.0,115,1,1,1,2,1,1,1,1,0,1,1,1,1,0
HCbJPXWXvwN-C7XfmVy3gA,Granite City Food & Brewery,"49 W Maryland St, Ste B03A",Indianapolis,IN,46204,39.7664200969,-86.1592453161,3.5,258,1,1,1,2,1,1,1,1,1,1,0,1,4,0
uKEabBQrn0gLzvTppOrKIA,Casita Taqueria,2701 4th St,Saint Petersburg,FL,33704,27.7969762597,-82.6381678127,4.5,207,1,1,1,1,1,1,0,1,1,1,0,1,2,0
8JEOmVGQffkr6xtn4vvplQ,Pita Kebob,3028 E College Ave,Ruskin,FL,33570,27.713401,-82.394372,4.0,142,1,1,1,1,1,1,0,1,1,1,0,0,1,0
rF0xI_3jjlsEKp3N0Z0BuQ,Trattoria Totaro,639 Spring Mill Ave,Conshohocken,PA,19428,40.0750524,-75.2945235,4.0,135,1,1,1,2,1,1,1,1,0,1,0,0,2,0
qma1sGQv7ArUtzuUTQElRg,Katie's Pizza & Pasta Osteria,14171 Clayton Rd,Town and Country,MO,63017,38.62468,-90.5150663,4.0,313,0,1,1,2,1,1,1,1,1,1,1,1,4,0
zjQDk4tZyhEroyqtkgvx0g,The Cobblestone Eatery and Drinkery,115 W St Louis St,Lebanon,IL,62254,38.6041071,-89.8085329,3.5,52,0,1,1,2,1,1,0,1,1,1,1,1,4,0
adb1hOYICrJ1Ix8M0sRpbw,Kuzina By Sofia,404 Rt 70 W,Cherry Hill,NJ,08034,39.9124556,-75.0022657,3.0,125,1,1,1,2,1,1,1,1,1,1,0,0,4,0
kfGz2E7Y5FLXJyiKbQYfZg,The Irish Times,629 S 2nd St,Philadelphia,PA,19147,39.9403745,-75.1456109,3.5,44,1,1,1,2,1,1,1,1,1,1,0,0,4,0
H3JjbID9Zhukpqr9uupHAA,Jackson's Bar & Bistro - Nashville,1800 21st Ave S,Nashville,TN,37212,36.1366299,-86.8004366,3.0,402,0,1,1,2,1,0,0,1,1,1,0,0,4,0
O5zuQH_YowDC-rsK8ZEXCA,Tin Drum Asia Cafe,"3867Tampa Rd, Ste 305",Tampa,FL,34677,28.0451503082,-82.6812278379,3.0,62,0,0,1,1,1,1,0,1,1,1,0,0,4,0
jsQQu9rVerR3OGxIa0hRQQ,Kelly's Taproom,1107 Lancaster Ave,Bryn Mawr,PA,19010,40.024588,-75.3242387,3.0,63,0,0,1,2,1,0,0,1,1,1,1,1,3,0
Hp3Ony7yW60VPuWHQFIIHA,Frady's One Stop Food Store,3231 Dauphine St,New Orleans,LA,70117,29.963974,-90.0426042,4.5,73,0,1,0,1,1,1,0,1,1,0,0,0,4,0
